metric,n,mean,median,q25,q75,q90,q95,min,max,note
train_positive_active_active_pairwise,22155,0.3562970056273772,0.30275229357798167,0.23423423423423423,0.4430379746835443,0.6212121212121212,0.6962025316455697,0.11304347826086956,1.0,
train_positive_active_active_nearest,211,0.7390046141435512,0.775,0.652056277056277,0.8374746054070948,0.9130434782608695,1.0,0.29545454545454547,1.0,
train_positive_to_train_negative_nearest,211,0.2617864706716466,0.26262626262626265,0.24757190004714758,0.27978494623655914,0.29,0.29591836734693877,0.2,0.29896907216494845,
train_positive_to_train_negative_mean,211,0.1343060400046092,0.13660133633239582,0.12752501479624095,0.14159109735504588,0.14530231880264813,0.14776290074949477,0.10783540436808771,0.15312943681512356,
test_active_nearest_train_positive,2906,0.22259428686805294,0.2186186974789916,0.19,0.24770642201834864,0.2762531328320802,0.29839982778415614,0.10476190476190476,0.8918918918918919,full test_active
test_active_nearest_train_negative,2906,0.269468329004662,0.26666666666666666,0.2376237623762376,0.29347826086956524,0.32323232323232326,0.3477116704805492,0.16071428571428573,0.8311688311688312,full test_active
test_decoy_nearest_train_positive,5000,0.19563941762665965,0.1935483870967742,0.17073170731707318,0.21839080459770116,0.24271844660194175,0.25862068965517243,0.06060606060606061,0.425,sampled 5000 test_decoy seed=20260722
test_decoy_nearest_train_negative,5000,0.33608933849685024,0.2967032967032967,0.24705882352941178,0.38461538461538464,0.5190366595429888,0.6162984496124032,0.07692307692307693,1.0,sampled 5000 test_decoy seed=20260722
test_active_nearest_active,2906,0.7900565640129866,0.8135593220338984,0.7536231884057971,0.8611111111111112,0.918918918918919,1.0,0.17708333333333334,1.0,
test_active_sampled_pairwise,200000,0.15735895452747362,0.1368421052631579,0.10909090909090909,0.1724137931034483,0.22784810126582278,0.32978723404255317,0.018867924528301886,1.0,sampled up to 200000 pairs
