metric,value
test_total,86966
test_pos,7906
test_neg,79060
test_pos_ratio,0.09090909090909091
test_pos_unique_canonical,7906
test_neg_unique_canonical,79059
test_pos_exact_overlap_raw_DEL_positive,0
test_neg_exact_overlap_raw_DEL_positive,0
test_pos_nearest_DEL_active_mean,0.22659615247609588
test_pos_nearest_DEL_active_median,0.22058823529411764
test_pos_nearest_DEL_active_q25,0.19642857142857142
test_pos_nearest_DEL_active_q75,0.24791622518895245
test_pos_nearest_DEL_active_min,0.11607142857142858
test_pos_nearest_DEL_active_max,0.5061728395061729
test_pos_nearest_DEL_active_ge_1,0
test_pos_nearest_DEL_active_ge_0.9,0
test_pos_nearest_DEL_active_ge_0.7,0
test_pos_nearest_DEL_active_ge_0.5,1
