positive_ID,nearest_tanimoto_to_current_negative,split,positive_SMILES
BRD4DEL_actives_60,0.29906542056074764,train,NC(=O)C(CC1CC1)NC(=O)c1ccc2c(c1)N=C(c1ccc3c(c1)OCCO3)N2C(C)c1ccc(OC)cc1
BRD4DEL_actives_363,0.29906542056074764,train,NC(=O)c1cccc(CNC(=O)c2ccc3c(c2)N=C(c2cnc[nH]2)N3C(C)c2ccc(OC)cc2)c1
BRD4DEL_actives_875,0.29896907216494845,train,NC(=O)[C@@H](CC1CCC1)NC(=O)c1ccc2c(c1)N=C(CCC)N2CCS(=O)(=O)N1CCCC1
BRD4DEL_actives_813,0.29896907216494845,train,NC(=O)[C@H]1CCCN(C(=O)c2ccc3c(c2)N=C(CCC)N3CC(=O)N2CCOCC2)C1
BRD4DEL_actives_401,0.29896907216494845,train,NC(=O)[C@H](CC(C)C)NC(=O)c1ccc2c(c1)N=C(CCC)N2Cc1ccc2c(c1)OCCO2
BRD4DEL_actives_702,0.29896907216494845,train,NC(=O)c1cccc(NC(=O)c2ccc3c(c2)N=C(c2ccc(N4CCOCC4)cc2)N3CC2COC(C)(C)O2)c1
BRD4DEL_actives_655,0.29896907216494845,train,NC(=O)[C@@H](CC(N)=O)NC(=O)c1ccc2c(c1)N=C(c1ccc(OC(C)=O)cc1)N2CCCc1ccccc1
BRD4DEL_actives_584,0.29896907216494845,train,NC(=O)[C@H](Cc1ccccn1)NC(=O)c1ccc2c(c1)N=C(c1ncccc1O)N2Cc1cccs1
BRD4DEL_actives_1092,0.29896907216494845,val,NC(=O)c1ccccc1NC(=O)c1ccc2c(c1)N=C(c1ccc(Cl)cc1)N2CC1CCCCO1
BRD4DEL_actives_490,0.29896907216494845,val,NC(=O)[C@H](CC)NC(=O)c1ccc2c(c1)N=C(c1ccc(C)cc1)N2Cc1ccc(NC(=O)CC)nc1
BRD4DEL_actives_317,0.2988505747126437,train,NC(=O)C1CCN(C(=O)c2ccc3c(c2)N=C(c2cnccn2)N3Cc2cncc(Br)c2)CC1
BRD4DEL_actives_1082,0.2988505747126437,train,NC(=O)c1cccc(NC(=O)c2ccc3c(c2)N=C(c2ccc4c(c2)OCCO4)N3C(CC)CC)c1
BRD4DEL_actives_865,0.2988505747126437,train,NC(=O)[C@H](Cc1ccc(C#N)cc1)NC(=O)c1ccc2c(c1)N=C(CCC)N2CCCc1ccccc1
BRD4DEL_actives_481,0.2982456140350877,train,NC(=O)[C@H](CCCCC1CCCC1)NC(=O)c1ccc2c(c1)N=C(c1ccc(C(F)(F)F)cn1)N2CCN1CCOCC1
BRD4DEL_actives_309,0.2980769230769231,train,NC(=O)[C@H](Cc1ccc(I)cc1)NC(=O)c1ccc2c(c1)N=C(C1CCN(Cc3ccccc3)CC1)N2Cc1ccccc1OC
BRD4DEL_actives_225,0.2980769230769231,train,NC(=O)[C@H](Cc1ccccc1)N(C)C(=O)c1ccc2c(c1)N=C(c1ccccc1O)N2CC1COc2ccccc2O1
BRD4DEL_actives_155,0.2980769230769231,val,NC(=O)[C@@H]1C[C@@H](c2ccccc2)CN1C(=O)c1ccc2c(c1)N=C(c1cc(OC)ccn1)N2CCN1CCOCC1
BRD4DEL_actives_454,0.2978723404255319,train,NC(=O)[C@H](C)NC(=O)c1ccc2c(c1)N=C(c1ccco1)N2CC(=O)N1CCOCC1
BRD4DEL_actives_267,0.2978723404255319,train,NC(=O)[C@H](CC)NC(=O)c1ccc2c(c1)N=C(c1ccc(F)cc1C)N2Cc1ccco1
BRD4DEL_actives_994,0.2978723404255319,train,NC(=O)c1cccc(NC(=O)c2ccc3c(c2)N=C(c2ccccc2C)N3Cc2ccc3c(c2)OCCO3)c1
BRD4DEL_actives_84,0.2978723404255319,train,NC(=O)[C@@H](CC1CCC1)NC(=O)c1ccc2c(c1)N=C(c1ccc(F)cc1)N2Cc1ccnc(C)c1
BRD4DEL_actives_808,0.2978723404255319,train,NC(=O)[C@H](Cc1ccncc1)NC(=O)c1ccc2c(c1)N=C(c1ccccc1)N2CCNC(C)=O
BRD4DEL_actives_117,0.2978723404255319,val,NC(=O)[C@H]1CCCN1C(=O)c1ccc2c(c1)N=C(c1cnccn1)N2Cc1ccc(-n2ccnc2)cc1
BRD4DEL_actives_394,0.2976190476190476,train,NC(=O)C(CCC(=O)OC)NC(=O)c1ccc2c(c1)N=C(Cc1ccc(C)cc1)N2Cc1ccc(=O)[nH]c1
BRD4DEL_actives_1043,0.2976190476190476,train,NC(=O)c1cccc(NC(=O)c2ccc3c(c2)N=C(c2cc(C)nc(C)c2)N3Cc2ccc(S(=O)(=O)CC)cc2)c1
BRD4DEL_actives_537,0.2976190476190476,train,NC(=O)C1CCN(C(=O)c2ccc3c(c2)N=C(c2ccc(Br)c(F)c2)N3CCN2CCOCC2)CC1
BRD4DEL_actives_904,0.2972972972972973,train,NC(=O)[C@H](Cc1cscn1)NC(=O)c1ccc2c(c1)N=C(c1cccc(C(F)(F)F)n1)N2Cc1cccnc1
BRD4DEL_actives_976,0.2972972972972973,train,NC(=O)[C@@H](NC(=O)c1ccc2c(c1)N=C(c1cccc3c1OCO3)N2Cc1ccccc1)C1CCCCC1
BRD4DEL_actives_633,0.297029702970297,train,NC(=O)[C@H](Cc1ccc(I)cc1)NC(=O)c1ccc2c(c1)N=C(c1cc(Br)ccc1OC)N2CCCc1ccccc1
BRD4DEL_actives_942,0.297029702970297,train,NC(=O)[C@H](CCCCC1CCCC1)NC(=O)c1ccc2c(c1)N=C(c1[nH]c(-c3ccccc3)nc1Cl)N2Cc1cccnc1
BRD4DEL_actives_993,0.297029702970297,train,NC(=O)[C@H]1CCCN(C(=O)c2ccc3c(c2)N=C(c2ccc(O)cc2)N3C(C)c2ccc(OC)cc2)C1
BRD4DEL_actives_624,0.297029702970297,train,NC(=O)[C@H](CC)NC(=O)c1ccc2c(c1)N=C(c1ccc3c(c1)OCCO3)N2Cc1cccs1
BRD4DEL_actives_578,0.297029702970297,train,NC(=O)[C@H](Cc1cccc(F)c1)NC(=O)c1ccc2c(c1)N=C(c1ccccc1C)N2CC1CCC(=O)N1
BRD4DEL_actives_1052,0.297029702970297,train,NC(=O)[C@H](C)NC(=O)c1ccc2c(c1)N=C(c1cccc3c1OCCO3)N2Cc1ccccc1OC
BRD4DEL_actives_404,0.297029702970297,train,NC(=O)c1cccc(NC(=O)c2ccc3c(c2)N=C(c2cc(Br)ccc2OC)N3Cc2cnn(C)c2)c1
BRD4DEL_actives_1058,0.297029702970297,train,NC(=O)[C@H](Cc1ccncc1)NC(=O)c1ccc2c(c1)N=C(C1CCN(Cc3ccccc3)CC1)N2Cc1cccs1
BRD4DEL_actives_762,0.297029702970297,val,NC(=O)c1cccc(CNC(=O)c2ccc3c(c2)N=C(c2cccs2)N3CC2CCC(=O)N2)c1
BRD4DEL_actives_899,0.297029702970297,val,NC(=O)c1cccc(CNC(=O)c2ccc3c(c2)N=C(c2cccc4nccnc24)N3Cc2ccccc2OC)c1
BRD4DEL_actives_8,0.297029702970297,val,NC(=O)c1cccc(CNC(=O)c2ccc3c(c2)N=C(c2cnc[nH]2)N3CC2CCC(=O)N2)c1
BRD4DEL_actives_231,0.2967032967032967,train,NC(=O)[C@H](Cc1ccco1)NC(=O)c1ccc2c(c1)N=C(CC(C)C)N2C
BRD4DEL_actives_531,0.2967032967032967,train,NC(=O)c1cccc(NC(=O)c2ccc3c(c2)N=C(c2ccc(Cl)cc2)N3Cc2ccc(CN3CCCC3)cc2)c1
BRD4DEL_actives_662,0.2967032967032967,train,NC(=O)[C@@H](NC(=O)c1ccc2c(c1)N=C(CCc1ccccc1)N2Cc1cc(OC)cc(OC)c1)C1CCCCC1
BRD4DEL_actives_1069,0.2967032967032967,train,NC(=O)[C@@H](CC(N)=O)NC(=O)c1ccc2c(c1)N=C(c1ccc(OC)cc1)N2C(C)c1ccccc1
BRD4DEL_actives_202,0.2967032967032967,train,NC(=O)CCNC(=O)c1ccc2c(c1)N=C(c1nc3ccccc3[nH]1)N2Cc1ccco1
BRD4DEL_actives_609,0.2962962962962963,train,NC(=O)CCNC(=O)c1ccc2c(c1)N=C(c1ccccc1O)N2CCNC(C)=O
BRD4DEL_actives_775,0.2962962962962963,train,NC(=O)[C@H](Cc1ccc(OCC=C)cc1)NC(=O)c1ccc2c(c1)N=C(c1ccc(NC(C)=O)cc1)N2CC1CCCCO1
BRD4DEL_actives_860,0.2962962962962963,train,NC(=O)[C@H](Cc1ccc(I)cc1)NC(=O)c1ccc2c(c1)N=C(c1cccs1)N2CC1COC(C)(C)O1
BRD4DEL_actives_911,0.2962962962962963,train,NC(=O)c1cccc(CNC(=O)c2ccc3c(c2)N=C(Cc2ccccc2)N3Cc2ccccc2OC)c1
BRD4DEL_actives_268,0.29591836734693877,train,NC(=O)c1cccc(NC(=O)c2ccc3c(c2)N=C(C2CCN(C)CC2)N3Cc2cccs2)c1
BRD4DEL_actives_812,0.29591836734693877,train,NC(=O)CCNC(=O)c1ccc2c(c1)N=C(c1ccc(C)c([N+](=O)[O-])c1)N2CC1CCC(=O)N1
BRD4DEL_actives_582,0.29591836734693877,train,NC(=O)[C@H](CC(N)=O)NC(=O)c1ccc2c(c1)N=C(c1cccc(OCC)c1)N2C1CCN(C(C)C)CC1
BRD4DEL_actives_242,0.29591836734693877,train,NC(=O)CCNC(=O)c1ccc2c(c1)N=C(c1ncc[nH]1)N2CC1CCCO1
BRD4DEL_actives_55,0.29591836734693877,train,NC(=O)[C@H](CCCCC1CCCC1)NC(=O)c1ccc2c(c1)N=C(c1cc(OC)ccn1)N2Cc1ccc(C)cc1
BRD4DEL_actives_253,0.29591836734693877,train,NC(=O)c1cccc(NC(=O)c2ccc3c(c2)N=C(CCC)N3Cc2ccco2)c1
BRD4DEL_actives_374,0.29591836734693877,train,NC(=O)CCNC(=O)c1ccc2c(c1)N=C(c1cc(C)on1)N2Cc1ccc(-n2cccn2)nc1
BRD4DEL_actives_119,0.29591836734693877,train,NC(=O)C(CC1CC1)NC(=O)c1ccc2c(c1)N=C(c1cccc(S(C)(=O)=O)c1)N2Cc1ccccc1
BRD4DEL_actives_325,0.29591836734693877,train,NC(=O)C(CC1CC1)NC(=O)c1ccc2c(c1)N=C(c1ccc(C)cc1)N2CC1CCCCO1
BRD4DEL_actives_1081,0.29591836734693877,val,NC(=O)[C@H](Cc1ccccn1)NC(=O)c1ccc2c(c1)N=C(c1cc3c(cc1Br)OCO3)N2Cc1ccc2c(c1)OCCO2
BRD4DEL_actives_691,0.29591836734693877,val,NC(=O)[C@H](Cc1ccco1)NC(=O)c1ccc2c(c1)N=C(c1ccc(C)cc1)N2Cc1ccc(F)cc1
BRD4DEL_actives_72,0.29591836734693877,val,NC(=O)[C@@H](C)NC(=O)c1ccc2c(c1)N=C(c1ccc3c(c1)OCCO3)N2CC1CCC(=O)N1
BRD4DEL_actives_736,0.29591836734693877,val,NC(=O)[C@H](CC)NC(=O)c1ccc2c(c1)N=C(c1cccs1)N2C1CCN(CC)CC1
BRD4DEL_actives_764,0.2956521739130435,train,NC(=O)c1ccccc1NC(=O)c1ccc2c(c1)N=C(c1cnc(N3CCOCC3)nc1)N2Cc1ccccc1OC
BRD4DEL_actives_839,0.2956521739130435,train,NC(=O)[C@H](Cc1cccc(OC)c1)NC(=O)c1ccc2c(c1)N=C(c1ccc(C)cc1)N2CCN1CCOCC1
BRD4DEL_actives_307,0.29545454545454547,train,NC(=O)c1cccc(NC(=O)c2ccc3c(c2)N=C(c2ccc(Br)o2)N3Cc2ccc(F)c(F)c2)c1
BRD4DEL_actives_660,0.29545454545454547,train,NC(=O)[C@@H](NC(=O)c1ccc2c(c1)N=C(c1ccc(N3CCCC3)cc1)N2CC(=O)c1ccc(S(C)(=O)=O)cc1)C1CCCC1
BRD4DEL_actives_896,0.29545454545454547,train,NC(=O)c1cccc(CNC(=O)c2ccc3c(c2)N=C(CCc2ccccc2)N3Cc2ccc(CN3CCCC3)cc2)c1
BRD4DEL_actives_752,0.29545454545454547,train,NC(=O)c1cccc(CNC(=O)c2ccc3c(c2)N=C(c2ccccc2)N3C(CC)CC)c1
BRD4DEL_actives_50,0.29545454545454547,train,NC(=O)c1cccc(CNC(=O)c2ccc3c(c2)N=C(CCC)N3Cc2ccc(CN3CCCC3)cc2)c1
BRD4DEL_actives_653,0.29545454545454547,train,NC(=O)c1cccc(NC(=O)c2ccc3c(c2)N=C(C(C)(C)C)N3Cc2ccc(CN3CCCC3)cc2)c1
BRD4DEL_actives_16,0.29545454545454547,train,NC(=O)c1ccccc1NC(=O)c1ccc2c(c1)N=C(C(C)(C)C)N2Cc1ccc(OC)cc1OC
BRD4DEL_actives_78,0.29523809523809524,train,NC(=O)[C@H](CCC(N)=O)NC(=O)c1ccc2c(c1)N=C(c1cccc(OC)c1)N2Cc1cccnc1
BRD4DEL_actives_49,0.29523809523809524,train,NC(=O)C1CCN(C(=O)c2ccc3c(c2)N=C(c2ccc(F)cc2C)N3Cc2cccc(OC(F)F)c2)CC1
BRD4DEL_actives_659,0.29523809523809524,train,NC(=O)C(CC1CC1)NC(=O)c1ccc2c(c1)N=C(c1cccc(S(C)(=O)=O)c1)N2Cc1ccc2c(c1)OCCO2
BRD4DEL_actives_421,0.29523809523809524,train,NC(=O)[C@H](Cc1ccccc1)NC(=O)c1ccc2c(c1)N=C(c1ccc(CC)o1)N2Cc1ccccc1OC
BRD4DEL_actives_893,0.2948717948717949,val,NC(=O)CCNC(=O)c1ccc2c(c1)N=C(c1ccccc1)N2Cc1ccccc1
