ID_B,count,fraction,mean_log10_R,max_log10_R
B053,46,0.04155374887082204,1.4422714934467633,2.436162647040756
B068,43,0.03884372177055104,1.4594892552508334,2.220979290903728
B041,42,0.037940379403794036,1.5311678802133284,2.184691430817599
B044,42,0.037940379403794036,1.4030158217920006,1.863322860120456
B081,38,0.03432700993676603,1.4220686721945084,1.9493900066449128
B079,37,0.03342366757000903,1.4106947561294882,1.863322860120456
B074,36,0.032520325203252036,1.439879305859138,2.169282471503407
B071,32,0.028906955736224028,1.4144433917717059,2.464886798302651
B083,32,0.028906955736224028,1.4503017428530918,2.161368002234975
B023,30,0.02710027100271003,1.3698281467312972,1.812913356642856
B082,27,0.024390243902439025,1.4743811695998577,2.44870631990508
B067,27,0.024390243902439025,1.4899128408270894,2.199572354905204
B080,26,0.023486901535682024,1.5544627764627308,2.0827853703164503
B014,26,0.023486901535682024,1.4322012551408647,2.073107098335432
B026,25,0.022583559168925023,1.4869957662019877,2.418853477639402
B056,25,0.022583559168925023,1.433501507935379,2.206825876031849
B075,25,0.022583559168925023,1.443513811169381,1.974665180804628
B042,24,0.02168021680216802,1.4114969595852014,1.9622114391106005
B046,24,0.02168021680216802,1.3781471446536055,1.9622114391106005
B069,24,0.02168021680216802,1.4615021321859756,1.9084850188786495
B078,22,0.01987353206865402,1.478316148415433,2.0211892990699383
B055,22,0.01987353206865402,1.4361948363752066,1.9985499336047672
B064,22,0.01987353206865402,1.4081303418265831,1.922552466761376
B018,20,0.018066847335140017,1.422025793605585,1.9361785093615893
B007,20,0.018066847335140017,1.4474319900731625,1.9084850188786495
B029,18,0.016260162601626018,1.4856622455063975,2.0320812676114404
B052,17,0.015356820234869015,1.4415864702274983,1.9361785093615893
B043,16,0.014453477868112014,1.408221688202842,1.893946607552074
B040,15,0.013550135501355014,1.4416514552671622,1.7757317762602307
B038,13,0.011743450767841012,1.508654713307029,2.199572354905204
B058,13,0.011743450767841012,1.5256677879502418,2.169282471503407
B016,13,0.011743450767841012,1.396645183034471,1.863322860120456
B015,12,0.01084010840108401,1.6391082286077008,2.279514853526185
B076,12,0.01084010840108401,1.4862996851556083,2.0827853703164503
B019,12,0.01084010840108401,1.4134801741497616,2.0427067390560563
B027,11,0.00993676603432701,1.5947101220858764,2.177055287158298
B031,10,0.009033423667570008,1.3995532354717586,1.9622114391106005
B077,10,0.009033423667570008,1.5258105487775184,1.9361785093615893
B070,10,0.009033423667570008,1.3982709580319468,1.713210443450629
B024,9,0.008130081300813009,1.5132777354559068,2.110589710299249
B009,9,0.008130081300813009,1.446004590674545,2.0827853703164503
B013,9,0.008130081300813009,1.448253461024572,1.8471612005780305
B010,9,0.008130081300813009,1.3884962709118112,1.8471612005780305
B094,9,0.008130081300813009,1.3228977071019647,1.713210443450629
B032,9,0.008130081300813009,1.4185585326817383,1.6901960800285136
B065,9,0.008130081300813009,1.377596584579534,1.5522625229655471
B092,8,0.007226738934056007,1.5625623942866336,1.9867717342662448
B051,8,0.007226738934056007,1.4924149108355844,1.863322860120456
B054,8,0.007226738934056007,1.4605560496889796,1.8471612005780305
B091,8,0.007226738934056007,1.3664523101188863,1.812913356642856
B045,7,0.006323396567299007,1.473498360018952,2.254467510467076
B020,7,0.006323396567299007,1.5949644890069175,2.153306620305361
B063,7,0.006323396567299007,1.4887228499013654,1.6658935455344326
B093,7,0.006323396567299007,1.3317362851572638,1.4419568376564116
B088,7,0.006323396567299007,1.2972749465273814,1.3979400086720375
B066,6,0.005420054200542005,1.5067803210259,2.161368002234975
B050,5,0.004516711833785004,1.5475457078671757,1.8789046024734604
B089,5,0.004516711833785004,1.5495763502956608,1.8471612005780305
B008,4,0.0036133694670280035,1.72858325160448,2.1921956258464497
B048,4,0.0036133694670280035,1.5303728017702336,1.812913356642856
B062,4,0.0036133694670280035,1.4389760154073181,1.713210443450629
B039,3,0.0027100271002710027,1.5802100675589623,1.863322860120456
B003,3,0.0027100271002710027,1.6582600870889586,1.812913356642856
B034,3,0.0027100271002710027,1.5747233128671871,1.7350663496842955
B095,3,0.0027100271002710027,1.4096045647515443,1.4819201376014313
B021,3,0.0027100271002710027,1.2515428665596768,1.293730756922482
B025,2,0.0018066847335140017,1.5127667116451804,1.5835765856339492
B002,2,0.0018066847335140017,1.3561845294898527,1.4819201376014313
B057,2,0.0018066847335140017,1.348953547981164,1.348953547981164
B085,1,0.0009033423667570009,1.6127838567197357,1.6127838567197357
B037,1,0.0009033423667570009,1.5835765856339492,1.5835765856339492
B084,1,0.0009033423667570009,1.5185139398778875,1.5185139398778875
B011,1,0.0009033423667570009,1.4419568376564116,1.4419568376564116
B022,1,0.0009033423667570009,1.348953547981164,1.348953547981164
B087,1,0.0009033423667570009,1.293730756922482,1.293730756922482
B090,1,0.0009033423667570009,1.293730756922482,1.293730756922482
B049,1,0.0009033423667570009,1.293730756922482,1.293730756922482
B028,1,0.0009033423667570009,1.293730756922482,1.293730756922482
