DEL_ID,ID_A,ID_B,ID_C,log10_R,R_MLE,sel_sum,ctrl,rep_gt_ctrl,SMILES_no_star
A091-B071-C006,A091,B071,C006,2.464886798302651,291.6666666666667,109,0,2,NC(=O)c1cccc(NC(=O)c2ccc3c(c2)N=C(c2ccccc2O)N3Cc2ccc3nccnc3c2)c1
A062-B082-C012,A062,B082,C012,2.44870631990508,281.0,105,0,2,NC(=O)[C@@H](NC(=O)c1ccc2c(c1)N=C(c1cc3ccoc3cn1)N2Cc1cc(OC)cc(OC)c1)C1CCCCC1
A091-B053-C067,A091,B053,C067,2.436162647040756,273.0,102,0,2,NC(=O)c1cccc(NC(=O)c2ccc3c(c2)N=C(c2ccc4c(c2)OCCO4)N3Cc2cncc(Br)c2)c1
A090-B026-C047,A090,B026,C047,2.418853477639402,262.3333333333333,98,0,2,NC(=O)C1CCCN1C1CCN(C(=O)c2ccc3c(c2)N=C(c2cccs2)N3Cc2ccc(CN3CCCC3)cc2)CC1
A086-B071-C046,A086,B071,C046,2.3256524705723134,211.66666666666663,79,0,2,NC(=O)[C@@H]1C[C@@H](c2ccccc2)CN1C(=O)c1ccc2c(c1)N=C(c1cccc(N3CCN(C)CC3)c1)N2Cc1ccc2nccnc2c1
A038-B015-C048,A038,B015,C048,2.279514853526185,190.33333333333331,71,0,2,NC(=O)[C@@H](CC(N)=O)NC(=O)c1ccc2c(c1)N=C(c1nnc[nH]1)N2CCc1cccc(Br)c1
A035-B045-C034,A035,B045,C034,2.254467510467076,179.66666666666666,67,0,2,NC(=O)CCNC(=O)c1ccc2c(c1)N=C(c1ccco1)N2C1CCN(c2ncccn2)CC1
A091-B068-C082,A091,B068,C082,2.220979290903728,166.33333333333334,62,0,3,NC(=O)c1cccc(NC(=O)c2ccc3c(c2)N=C(c2ccccc2C)N3CC2CCC(=O)N2)c1
A094-B068-C031,A094,B068,C031,2.206825876031849,161.0,60,0,2,NC(=O)c1cccc(CNC(=O)c2ccc3c(c2)N=C(c2cnc[nH]2)N3CC2CCC(=O)N2)c1
A011-B056-C022,A011,B056,C022,2.206825876031849,161.0,60,0,2,NC(=O)[C@H](CCC)NC(=O)c1ccc2c(c1)N=C(c1ccc(C#N)nc1)N2Cc1ccccc1OC
A094-B038-C035,A094,B038,C035,2.199572354905204,158.33333333333334,59,0,2,NC(=O)c1cccc(CNC(=O)c2ccc3c(c2)N=C(c2cccnc2)N3CCN2CCCN(C)CC2)c1
A084-B067-C072,A084,B067,C072,2.199572354905204,158.33333333333334,59,0,2,NC(=O)[C@H](Cc1cscn1)NC(=O)c1ccc2c(c1)N=C(c1cncc(OC)c1)N2CC1(C#N)CCOCC1
A034-B008-C081,A034,B008,C081,2.1921956258464497,155.66666666666666,58,0,2,NC(=O)[C@@H](C)NC(=O)c1ccc2c(c1)N=C(c1ccc(O)c(OC)c1)N2C
A001-B041-C064,A001,B041,C064,2.184691430817599,153.0,57,0,3,NC(=O)C[C@@H]1CCCN1C(=O)c1ccc2c(c1)N=C(c1cnccn1)N2CC(=O)N1CCOCC1
A071-B027-C068,A071,B027,C068,2.177055287158298,150.33333333333334,56,0,2,NC(=O)[C@H](Cc1ccco1)NC(=O)c1ccc2c(c1)N=C(c1cn[nH]c1)N2Cc1cccc(N2CCCC2)c1
A071-B074-C011,A071,B074,C011,2.169282471503407,147.66666666666666,55,0,2,NC(=O)[C@H](Cc1ccco1)NC(=O)c1ccc2c(c1)N=C(CCc1ccccc1)N2Cc1cccc(N(C)C(C)=O)c1
A092-B058-C074,A092,B058,C074,2.169282471503407,147.66666666666666,55,0,2,NC(=O)c1ccccc1NC(=O)c1ccc2c(c1)N=C(C(C)(C)C)N2Cc1ccc(OC)cc1OC
A076-B053-C020,A076,B053,C020,2.169282471503407,147.66666666666666,55,0,2,NC(=O)C(CC1CC1)NC(=O)c1ccc2c(c1)N=C(c1cc(Br)ccc1O)N2Cc1cncc(Br)c1
A094-B074-C036,A094,B074,C036,2.161368002234975,145.0,54,0,2,NC(=O)c1cccc(CNC(=O)c2ccc3c(c2)N=C(c2cccc4c2OCO4)N3Cc2cccc(N(C)C(C)=O)c2)c1
A095-B083-C069,A095,B083,C069,2.161368002234975,145.0,54,0,2,NC(=O)[C@H](CCC(N)=O)NC(=O)c1ccc2c(c1)N=C(Cc1ccc(C)cc1)N2CCc1cccc(OC)c1
