scaffold,count,fraction,mean_Fn,max_Fn
O=S(=O)(c1ccccc1)N1CC(c2ccc(-c3ccccc3)cc2)C1,464,0.035637480798771125,1.5756905597389732,7.7795298776799
O=S(=O)(c1ccccc1)N1CCC(c2ccc(-c3ccccc3)cc2)C1,462,0.035483870967741936,1.8151483235779022,7.75599314189786
c1ccc(-c2ccc(C3CCNC3)cc2)cc1,437,0.03356374807987711,1.9740575638984081,11.6845132410561
c1ccc(-c2ccc(C3CNC3)cc2)cc1,426,0.03271889400921659,1.664171405269298,9.58615552670165
c1ccc(CN2CCC(c3ccc(-c4ccccc4)cc3)C2)cc1,384,0.029493087557603687,1.89261218508313,10.9239986194363
c1ccc(CN2CC(c3ccc(-c4ccccc4)cc3)C2)cc1,329,0.025268817204301075,1.8089215052885308,16.0966250876889
O=S(=O)(c1cccnc1)N1CC(c2ccc(-c3ccccc3)cc2)C1,260,0.019969278033794162,1.697161232144852,8.1409735569573
O=S(=O)(c1cccnc1)N1CCC(c2ccc(-c3ccccc3)cc2)C1,249,0.01912442396313364,1.8462225699883068,16.0129216725108
O=S(=O)(c1c[nH]cn1)N1CC(c2ccc(-c3ccccc3)cc2)C1,159,0.012211981566820277,1.565165332624682,7.12978424437733
O=S(=O)(c1cn[nH]c1)N1CC(c2ccc(-c3ccccc3)cc2)C1,132,0.010138248847926268,1.4801475310646033,6.61357879380591
O=S(=O)(c1c[nH]cn1)N1CCC(c2ccc(-c3ccccc3)cc2)C1,123,0.00944700460829493,1.8337280241887062,7.51918620505553
c1ccc(-c2ccc(C3CCN(Cc4ccccn4)C3)cc2)cc1,117,0.008986175115207374,1.7026438079171837,6.811932521192
c1ccc(-c2ccc(C3CN(Cc4ccccn4)C3)cc2)cc1,105,0.008064516129032258,1.536893779801409,6.14788383396903
c1ccc(CCN2CCC(c3ccc(-c4ccccc4)cc3)C2)cc1,97,0.007450076804915514,2.017527383414547,9.96497274543033
