metric,n,mean,median,q25,q75,q90,q95,min,max,note
train_positive_active_active_pairwise,466095,0.3679683270760973,0.35555555555555557,0.3170731707317073,0.4069767441860465,0.45783132530120485,0.5,0.20588235294117646,1.0,
train_positive_active_active_nearest,966,0.7695816363360813,0.7424242424242424,0.7067241379310345,0.796875,1.0,1.0,0.582089552238806,1.0,
train_positive_to_train_negative_nearest,966,0.26222646338032524,0.26373626373626374,0.24733954107083472,0.27710843373493976,0.2864214992927864,0.2915348101265823,0.20253164556962025,0.29896907216494845,
train_positive_to_train_negative_mean,966,0.12421395137576745,0.12445849604781915,0.12000080909320213,0.12850336093624942,0.13216086789513926,0.13419933063115358,0.10670396671577369,0.1411474418158742,
test_active_nearest_train_positive,4771,0.25760785562302985,0.26153846153846155,0.2247191011235955,0.2916666666666667,0.32051282051282054,0.34210526315789475,0.05172413793103448,1.0,full test_active
test_active_nearest_train_negative,4771,0.3553424713050001,0.34615384615384615,0.30612244897959184,0.39603960396039606,0.45161290322580644,0.49323211999268335,0.10714285714285714,1.0,full test_active
test_decoy_nearest_train_positive,5000,0.1982277536494683,0.19607843137254902,0.17439193513974827,0.22105263157894736,0.24444444444444444,0.25882352941176473,0.07142857142857142,0.36666666666666664,sampled 5000 test_decoy seed=20260722
test_decoy_nearest_train_negative,5000,0.4528684811648488,0.4246575342465753,0.33695652173913043,0.5441641846612062,0.6666666666666666,0.7352941176470589,0.1346153846153846,1.0,sampled 5000 test_decoy seed=20260722
test_active_nearest_active,4771,0.7743113586587331,0.7837837837837838,0.7142857142857143,0.8369719981015662,0.9183673469387755,1.0,0.22857142857142856,1.0,
test_active_sampled_pairwise,200000,0.17581759182921305,0.1728395061728395,0.12162162162162163,0.22033898305084745,0.265625,0.29824561403508765,0.0,1.0,sampled up to 200000 pairs
