scaffold,count,fraction
c1ccc(-c2ccc(C3CCNC3)cc2)cc1,53,0.054865424430641824
O=S(=O)(c1ccccc1)N1CCC(c2ccc(-c3ccccc3)cc2)C1,44,0.045548654244306416
c1ccc(CN2CCC(c3ccc(-c4ccccc4)cc3)C2)cc1,41,0.042443064182194616
c1ccc(CN2CC(c3ccc(-c4ccccc4)cc3)C2)cc1,32,0.033126293995859216
O=S(=O)(c1cccnc1)N1CCC(c2ccc(-c3ccccc3)cc2)C1,25,0.025879917184265012
O=S(=O)(c1ccccc1)N1CC(c2ccc(-c3ccccc3)cc2)C1,23,0.023809523809523808
c1ccc(-c2ccc(C3CNC3)cc2)cc1,22,0.022774327122153208
O=S(=O)(c1cccnc1)N1CC(c2ccc(-c3ccccc3)cc2)C1,17,0.017598343685300208
O=S(=O)(c1cn[nH]c1)N1CCC(c2ccc(-c3ccccc3)cc2)C1,12,0.012422360248447204
c1ccc(CCN2CCC(c3ccc(-c4ccccc4)cc3)C2)cc1,11,0.011387163561076604
c1ccc(-c2ccc(C3CCN(Cc4cc[nH]c4)C3)cc2)cc1,10,0.010351966873706004
O=S(=O)(c1c[nH]cn1)N1CCC(c2ccc(-c3ccccc3)cc2)C1,10,0.010351966873706004
O=S(=O)(C=Cc1ccccc1)N1CC(c2ccc(-c3ccccc3)cc2)C1,8,0.008281573498964804
c1ccc(-c2ccc(C3CCN(Cc4cccc(-c5nn[nH]n5)c4)C3)cc2)cc1,7,0.007246376811594203
c1ccc(-c2ccc(C3CCN(Cc4csnn4)C3)cc2)cc1,6,0.006211180124223602
c1ccc(CN2CCC(c3ccc(-c4cccnc4)cc3)C2)cc1,6,0.006211180124223602
c1ccc(-c2ccc(C3CCN(Cc4cccc5ccccc45)C3)cc2)cc1,6,0.006211180124223602
c1ccc(-c2ccc(C3CN(Cc4cc[nH]c4)C3)cc2)cc1,6,0.006211180124223602
c1ccc(-c2ccc(C3CCN(Cc4ccccn4)C3)cc2)cc1,6,0.006211180124223602
c1ccc(-c2ccc(C3CCN(CCN4CCOCC4)C3)cc2)cc1,6,0.006211180124223602
c1ccc(-c2ccc(C3CCN(Cc4ccc5ccccc5n4)C3)cc2)cc1,5,0.005175983436853002
c1ccc(-c2ccc(C3CCN(CC4CC4)C3)cc2)cc1,5,0.005175983436853002
c1ccc(-c2ccc(C3CCN(Cc4ccco4)C3)cc2)cc1,5,0.005175983436853002
c1ccc(-c2ccc(C3CCN(Cc4cncnc4)C3)cc2)cc1,5,0.005175983436853002
c1ccc(-c2ccc(C3CCN(Cc4cc[nH+]cc4)C3)cc2)cc1,5,0.005175983436853002
O=S(=O)(c1ncc[nH]1)N1CCC(c2ccc(-c3ccccc3)cc2)C1,5,0.005175983436853002
c1ccc(COCCN2CCC(c3ccc(-c4ccccc4)cc3)C2)cc1,5,0.005175983436853002
c1ccc(-c2ccc(C3CCN(CC4CCCCCC4)C3)cc2)cc1,5,0.005175983436853002
c1ccc(-c2ccc(C3CCN(Cc4ccc(-c5nn[nH]n5)cc4)C3)cc2)cc1,5,0.005175983436853002
c1ccc(-c2ccc(C3CCN(Cc4cccc5ncccc45)C3)cc2)cc1,4,0.004140786749482402
c1ccc(-c2ccc(C3CCN(Cc4ccncn4)C3)cc2)cc1,4,0.004140786749482402
c1ccc(CCN2CC(c3ccc(-c4ccccc4)cc3)C2)cc1,4,0.004140786749482402
O=C1COc2ccc(CN3CCC(c4ccc(-c5ccccc5)cc4)C3)nc2N1,4,0.004140786749482402
c1ccc(-c2ccc(C3CCN(Cc4cn5c(n4)CCC5)C3)cc2)cc1,4,0.004140786749482402
c1ccc(-c2ccc(C3CCN(CC4CCCCCCC4)C3)cc2)cc1,4,0.004140786749482402
c1ccc(-c2ccc(C3CCN(CC4CC5(CC5)C4)C3)cc2)cc1,4,0.004140786749482402
O=S(=O)(C1CC1)N1CCC(c2ccc(-c3ccccc3)cc2)C1,4,0.004140786749482402
O=S(=O)(c1ccsc1)N1CCC(c2ccc(-c3ccccc3)cc2)C1,4,0.004140786749482402
c1ccc(-c2ccc(C3CN(Cc4ccc5c(c4)CCC5)C3)cc2)cc1,4,0.004140786749482402
c1ccc(-c2ccc(C3CN(Cc4cccnc4)C3)cc2)cc1,4,0.004140786749482402
c1ccc(-c2ccc(C3CCN(CC4CC4c4ccccc4)C3)cc2)cc1,4,0.004140786749482402
c1ccc(-c2ccc(C3CCN(CC4COC4)C3)cc2)cc1,4,0.004140786749482402
c1ccc(-c2ccc(C3CN(Cc4ccncc4)C3)cc2)cc1,4,0.004140786749482402
c1ccc(-c2ccc(C3CCN(CC4CCC4)C3)cc2)cc1,4,0.004140786749482402
c1ccc(-c2ccc(C3CN(Cc4cc[nH]n4)C3)cc2)cc1,4,0.004140786749482402
c1ccc(-c2ccc(C3CN(Cc4ccccn4)C3)cc2)cc1,4,0.004140786749482402
O=S(=O)(c1ccccc1)N1CCC(c2ccc(-c3cccnc3)cc2)C1,4,0.004140786749482402
O=S(=O)(c1cccnc1)N1CCC(c2ccc(-c3cccnc3)cc2)C1,3,0.003105590062111801
c1ccc(-c2ccc(C3CCN(Cc4cn(-c5ccccc5)nn4)C3)cc2)cc1,3,0.003105590062111801
O=S(=O)(c1cnc2n1CCC2)N1CC(c2ccc(-c3ccccc3)cc2)C1,3,0.003105590062111801
O=C(NC1CC1)c1cccc(-c2ccc(C3CCNC3)cc2)c1,3,0.003105590062111801
O=C1CCC(CCN2CCC(c3ccc(-c4ccccc4)cc3)C2)O1,3,0.003105590062111801
c1cc(C2CCNC2)ccc1-c1cnc(C2CC2)nc1,3,0.003105590062111801
