BRD4_analysis_item,CK1a_status,CK1a_file_or_reason
raw numeric summary,generated,CK1a_CHEMBL10_raw_DEL_numeric_summary.csv
raw RDKit property summary,generated,CK1a_CHEMBL10_raw_DEL_rdkit_property_summary.csv
raw scaffold+dataset summary,generated,CK1a_CHEMBL10_raw_DEL_scaffold_and_dataset_summary.csv
raw top scaffolds,generated,CK1a_CHEMBL10_raw_DEL_top_scaffolds.csv/png
raw enrichment distributions,not_applicable,CK1a supplied raw file lacks enrichment/read-count/control or building-block columns.
building block top A/B/C,not_applicable,CK1a supplied raw file lacks enrichment/read-count/control or building-block columns.
positive-negative nearest similarity,generated,CK1a_CHEMBL10_current_active_inactive_nearest_similarity.png
positive-negative similarity summary,generated,CK1a_CHEMBL10_current_1to10_DUDE_negative_pos_neg_similarity_summary.csv
positive-negative scaffold overlap,generated,CK1a_CHEMBL10_current_1to10_DUDE_negative_scaffold_overlap.png/csv
trainval-test exact overlap,generated,CK1a_CHEMBL10_current_trainval_vs_CHEMBL10_test_exact_overlap_summary.csv
trainval-test nearest summary,generated,CK1a_CHEMBL10_current_trainval_vs_CHEMBL10_test_nearest_similarity_summary.csv
test active to DEL positive similarity,generated,CK1a_CHEMBL10_test_active_to_DEL_active_similarity.png
test active nearest CSV,generated,CK1a_CHEMBL10_test_active_to_DEL_active_nearest.csv
test active internal chemotype,generated,CK1a_CHEMBL10_test_active_nearest_active_similarity.png
test active scaffold summary,generated,CK1a_CHEMBL10_test_active_top_scaffolds.csv/png
physchem summary+plots,generated,CK1a_CHEMBL10_current_trainval_test_property_summary.csv/pngs
model gain linked features,generated,CK1a_CHEMBL10_model_gain_linked_to_DEL_features.csv
target background,generated,CK1a_CHEMBL10_target_background_annotation.csv
feature interpretation summary,generated,CK1a_CHEMBL10_DEL_data_feature_interpretation_summary.csv
