section,metric,value,group
dataset_size,raw_rows,2000.0,
dataset_size,raw_positive_Y1,2000.0,
dataset_size,train_rows,17600.0,
dataset_size,val_rows,4400.0,
dataset_size,finetune_positive,2000.0,
dataset_size,finetune_negative,20000.0,
dataset_size,finetune_neg_pos_ratio,10.0,
dataset_size,test_active,129.0,
dataset_size,test_decoy,1290.0,
dataset_size,test_decoy_active_ratio,10.0,
scaffold_summary,n,2000.0,raw_positive_DEL
scaffold_summary,unique_scaffold,1970.0,raw_positive_DEL
scaffold_summary,scaffold_ratio,0.985,raw_positive_DEL
scaffold_summary,top1_scaffold_frac,0.005,raw_positive_DEL
scaffold_summary,top5_scaffold_frac,0.012,raw_positive_DEL
scaffold_summary,top10_scaffold_frac,0.017,raw_positive_DEL
scaffold_summary,n,2000.0,train_positive_DEL
scaffold_summary,unique_scaffold,1970.0,train_positive_DEL
scaffold_summary,scaffold_ratio,0.985,train_positive_DEL
scaffold_summary,top1_scaffold_frac,0.005,train_positive_DEL
scaffold_summary,top5_scaffold_frac,0.012,train_positive_DEL
scaffold_summary,top10_scaffold_frac,0.017,train_positive_DEL
scaffold_summary,n,20000.0,train_negative_DEL
scaffold_summary,unique_scaffold,15069.0,train_negative_DEL
scaffold_summary,scaffold_ratio,0.75345,train_negative_DEL
scaffold_summary,top1_scaffold_frac,0.01935,train_negative_DEL
scaffold_summary,top5_scaffold_frac,0.0326,train_negative_DEL
scaffold_summary,top10_scaffold_frac,0.0417,train_negative_DEL
scaffold_summary,n,129.0,test_active_CHEMBL10
scaffold_summary,unique_scaffold,89.0,test_active_CHEMBL10
scaffold_summary,scaffold_ratio,0.689922480620155,test_active_CHEMBL10
scaffold_summary,top1_scaffold_frac,0.0697674418604651,test_active_CHEMBL10
scaffold_summary,top5_scaffold_frac,0.2248062015503876,test_active_CHEMBL10
scaffold_summary,top10_scaffold_frac,0.3255813953488372,test_active_CHEMBL10
scaffold_summary,n,1290.0,test_decoy_DUDE10
scaffold_summary,unique_scaffold,1076.0,test_decoy_DUDE10
scaffold_summary,scaffold_ratio,0.834108527131783,test_decoy_DUDE10
scaffold_summary,top1_scaffold_frac,0.0100775193798449,test_decoy_DUDE10
scaffold_summary,top5_scaffold_frac,0.0410852713178294,test_decoy_DUDE10
scaffold_summary,top10_scaffold_frac,0.0643410852713178,test_decoy_DUDE10
positive_negative_scaffold_overlap,train_shared_scaffold_count,36.0,
positive_negative_scaffold_overlap,train_pos_compounds_on_shared_scaffold_frac,0.03,
positive_negative_scaffold_overlap,train_neg_compounds_on_shared_scaffold_frac,0.03125,
