scaffold,count,fraction
c1ccccc1,10,0.005
,6,0.003
O=C(CCc1ccccc1)N1CCCCC1,3,0.0015
c1ccc(CN2CCCC2)cc1,3,0.0015
O=C(CCc1ccccc1)N1CCCC1,2,0.001
c1ccc(CNc2nccc(Nc3ccccc3)n2)cc1,2,0.001
O=C(NCCc1ccccc1)c1cccnc1,2,0.001
C1CCNC1,2,0.001
O=C(NC1CN(c2ccccn2)C1)c1n[nH]c2ccccc12,2,0.001
c1cn[nH]c1,2,0.001
O=C(CCc1cc2ccccc2o1)NCc1ccccc1,2,0.001
O=C(CCc1ccccc1)N1CCOCC1,2,0.001
c1ccc2ccccc2c1,2,0.001
O=C(Cn1cnc2ccccc21)NCC1CCCCCC1,2,0.001
c1ccncc1,2,0.001
O=C(CNC(=O)c1ccccc1)NCCc1ccccc1,2,0.001
O=C(NCCc1nnc2ccccn12)c1ccc[nH]1,1,0.0005
O=C(CCCCCCc1ccccc1)N[C@H]1CC[C@@H](C(=O)NCCc2ccc3c(c2)OCCO3)CC1,1,0.0005
O=C(CCOCc1ccccc1)N1CCc2ccccc2C1,1,0.0005
O=C(N[C@H](Cc1ccccc1)C(=O)Nc1cnn(-c2ccccc2)c1)C1CCCC1,1,0.0005
O=C(COc1ccccc1)N[C@@H](Cc1ccccc1)C(=O)NC1CCCCC1,1,0.0005
O=C(Cc1ccc(CCNC(=O)C2CC2)cc1)NCCCNc1ccccc1,1,0.0005
O=C(NC(Cc1cc2ccccc2o1)C(=O)NCC1CCN(CCc2ccccc2)C1)C1CCOCC1,1,0.0005
O=C(NCc1nc[nH]n1)C1(C(=O)Nc2c[nH]nc2-c2ccco2)CCOCC1,1,0.0005
O=C(Cc1nnc[nH]1)NCCC(=O)N1CCCC1,1,0.0005
O=C(NCc1cnn(C2CCCCC2)c1)c1ccccn1,1,0.0005
O=C(NCC1CC(c2ccccc2)C1)[C@@H](Cc1ccccc1)NC(=O)[C@@H]1C[C@H]1c1cccnc1,1,0.0005
O=C(NCC1CCCC1)c1ccco1,1,0.0005
O=C(C[C@H](NC(=O)c1ccccc1C(=O)NC1CCCCC1)c1ccccc1)NC1COc2ccccc2C1,1,0.0005
O=C(N[C@@H](C(=O)NCc1ccc(-c2ccccc2)cc1)c1ccccc1)c1cnc(-c2cccnc2)nc1,1,0.0005
