section,file,copied,description
00_alignment,CK1a_CHEMBL10_BRD4_alignment_audit.csv,True,对齐BRD4的审计表
00_alignment,CK1a_CHEMBL10_unavailable_and_available_DEL_metrics.csv,True,哪些指标可用/不可用
01_dataset,CK1a_CHEMBL10_raw_clean_split_summary.csv,True,数据规模与比例
01_dataset,CK1a_CHEMBL10_dataset_size_by_group.png,True,数据量图
02_raw_DEL,CK1a_CHEMBL10_raw_DEL_numeric_summary.csv,True,原始DEL数值字段汇总；CK1a多数字段不可用
02_raw_DEL,CK1a_CHEMBL10_raw_DEL_rdkit_property_summary.csv,True,原始DEL阳性RDKit性质
02_raw_DEL,CK1a_CHEMBL10_raw_DEL_scaffold_and_dataset_summary.csv,True,原始DEL scaffold和数据汇总
02_raw_DEL,CK1a_CHEMBL10_raw_DEL_top_scaffolds.csv,True,原始DEL top scaffolds
02_raw_DEL,CK1a_CHEMBL10_raw_DEL_top_scaffolds.png,True,原始DEL top scaffolds图
03_pos_neg,CK1a_CHEMBL10_current_1to10_DUDE_negative_pos_neg_similarity_summary.csv,True,实际微调阳性vs负样本相似度汇总
03_pos_neg,CK1a_CHEMBL10_current_active_inactive_nearest_similarity.png,True,实际微调阳性到负样本最近邻图
03_pos_neg,CK1a_CHEMBL10_current_1to10_active_active_pairwise_similarity.png,True,DEL阳性内部pairwise相似度图
03_pos_neg,CK1a_CHEMBL10_current_1to10_positive_to_negative_nearest.csv,True,DEL阳性到实际微调负样本最近邻CSV
03_pos_neg,CK1a_CHEMBL10_current_1to10_DUDE_negative_scaffold_overlap_summary.csv,True,阳性/负样本scaffold overlap汇总
03_pos_neg,CK1a_CHEMBL10_current_1to10_DUDE_negative_scaffold_overlap.png,True,阳性/负样本scaffold overlap图
04_train_test,CK1a_CHEMBL10_current_trainval_vs_CHEMBL10_test_exact_overlap_summary.csv,True,train/val与测试集exact overlap汇总
04_train_test,CK1a_CHEMBL10_DEL_exact_overlap_barplot.png,True,train/val与测试集exact overlap图
04_train_test,CK1a_CHEMBL10_current_trainval_vs_CHEMBL10_test_nearest_similarity_summary.csv,True,train/val与测试集最近邻汇总
04_train_test,CK1a_CHEMBL10_test_active_to_DEL_active_nearest.csv,True,测试active到DEL阳性最近邻CSV
04_train_test,CK1a_CHEMBL10_test_active_to_DEL_active_similarity.png,True,测试active到DEL阳性相似度图
04_train_test,CK1a_CHEMBL10_test_active_nearest_active_similarity.png,True,测试active内部chemotype相似度图
04_train_test,CK1a_CHEMBL10_test_active_top_scaffolds.csv,True,测试active top scaffolds
04_train_test,CK1a_CHEMBL10_test_active_top_scaffolds.png,True,测试active top scaffolds图
05_physchem,CK1a_CHEMBL10_current_trainval_test_property_summary.csv,True,训练/测试物化性质汇总
05_physchem,CK1a_CHEMBL10_current_trainval_test_physchem_boxplots.png,True,训练/测试物化性质综合箱线图
05_physchem,CK1a_CHEMBL10_current_trainval_test_MW_boxplot.png,True,MW箱线图
05_physchem,CK1a_CHEMBL10_current_trainval_test_LogP_boxplot.png,True,LogP箱线图
05_physchem,CK1a_CHEMBL10_current_trainval_test_TPSA_boxplot.png,True,TPSA箱线图
05_physchem,CK1a_CHEMBL10_current_trainval_test_RotB_boxplot.png,True,RotB箱线图
05_physchem,CK1a_CHEMBL10_current_trainval_test_HeavyAtomCount_boxplot.png,True,HeavyAtomCount箱线图
06_model,CK1a_CHEMBL10_model_gain_linked_to_DEL_features.csv,True,模型微调增益关联
07_summary,CK1a_CHEMBL10_target_background_annotation.csv,True,靶点背景注释
07_summary,CK1a_CHEMBL10_DEL_data_feature_interpretation_summary.csv,True,最终特征解释汇总
