section,metric,value,group
dataset_size,raw_rows,2000.0,
dataset_size,raw_positive_Y1,2000.0,
dataset_size,train_rows,17600.0,
dataset_size,val_rows,4400.0,
dataset_size,finetune_positive,2000.0,
dataset_size,finetune_negative,20000.0,
dataset_size,finetune_neg_pos_ratio,10.0,
dataset_size,test_active,1382.0,
dataset_size,test_decoy,13820.0,
dataset_size,test_decoy_active_ratio,10.0,
scaffold_summary,n,2000.0,raw_positive_DEL
scaffold_summary,unique_scaffold,1967.0,raw_positive_DEL
scaffold_summary,scaffold_ratio,0.9835,raw_positive_DEL
scaffold_summary,top1_scaffold_frac,0.006,raw_positive_DEL
scaffold_summary,top5_scaffold_frac,0.012,raw_positive_DEL
scaffold_summary,top10_scaffold_frac,0.017,raw_positive_DEL
scaffold_summary,n,2000.0,train_positive_DEL
scaffold_summary,unique_scaffold,1967.0,train_positive_DEL
scaffold_summary,scaffold_ratio,0.9835,train_positive_DEL
scaffold_summary,top1_scaffold_frac,0.006,train_positive_DEL
scaffold_summary,top5_scaffold_frac,0.012,train_positive_DEL
scaffold_summary,top10_scaffold_frac,0.017,train_positive_DEL
scaffold_summary,n,20000.0,train_negative_DEL
scaffold_summary,unique_scaffold,15279.0,train_negative_DEL
scaffold_summary,scaffold_ratio,0.76395,train_negative_DEL
scaffold_summary,top1_scaffold_frac,0.01755,train_negative_DEL
scaffold_summary,top5_scaffold_frac,0.0315,train_negative_DEL
scaffold_summary,top10_scaffold_frac,0.03985,train_negative_DEL
scaffold_summary,n,1382.0,test_active_CHEMBL10
scaffold_summary,unique_scaffold,583.0,test_active_CHEMBL10
scaffold_summary,scaffold_ratio,0.42185238784370477,test_active_CHEMBL10
scaffold_summary,top1_scaffold_frac,0.14978292329956586,test_active_CHEMBL10
scaffold_summary,top5_scaffold_frac,0.2583212735166425,test_active_CHEMBL10
scaffold_summary,top10_scaffold_frac,0.32778581765557163,test_active_CHEMBL10
scaffold_summary,n,13820.0,test_decoy_DUDE10
scaffold_summary,unique_scaffold,11048.0,test_decoy_DUDE10
scaffold_summary,scaffold_ratio,0.7994211287988423,test_decoy_DUDE10
scaffold_summary,top1_scaffold_frac,0.012735166425470333,test_decoy_DUDE10
scaffold_summary,top5_scaffold_frac,0.024384949348769898,test_decoy_DUDE10
scaffold_summary,top10_scaffold_frac,0.031693198263386395,test_decoy_DUDE10
positive_negative_scaffold_overlap,train_shared_scaffold_count,30.0,
positive_negative_scaffold_overlap,train_pos_compounds_on_shared_scaffold_frac,0.026,
positive_negative_scaffold_overlap,train_neg_compounds_on_shared_scaffold_frac,0.02545,
