scaffold,count,fraction
c1ccccc1,12,0.006
c1cn[nH]c1,4,0.002
O=C(NCc1ccccc1)c1ccc(N2CC(NC(=O)c3n[nH]c4ccccc34)C2)nc1,3,0.0015
C1CCOCC1,3,0.0015
O=C(N[C@@H](Cc1ccccc1)C(=O)NCc1ccccc1)c1ccc[nH]1,2,0.001
O=C(NCc1ccccc1)c1cc(C(=O)Nc2cc[nH]n2)[nH]n1,2,0.001
,2,0.001
O=C(CCc1ccncc1)N1CCNCC1,2,0.001
c1ccc(Nc2cc(N3CCCCC3)ncn2)cc1,2,0.001
c1ccc2[nH]ccc2c1,2,0.001
c1cc(Nc2ccn[nH]2)ncn1,2,0.001
c1ccc(-c2cc[nH]n2)cc1,2,0.001
O=C(Nc1nccs1)c1ccccc1,2,0.001
c1c[nH]nn1,2,0.001
C1CCCCC1,2,0.001
O=C(NC1CCN(c2ncncc2-c2ccccc2)CC1)c1n[nH]c2ccccc12,2,0.001
O=C(CCc1ccccc1)N1CCOCC1,2,0.001
O=C(CCc1ccccc1)NCc1ccccc1,2,0.001
O=C(NCc1ccccc1)c1cc(C2CCC2)on1,2,0.001
O=C(Nc1cc(CC2CC2)[nH]n1)c1cccc(C(=O)N2CCCCC2)c1,1,0.0005
O=C(COC1CCC(NC(=O)c2n[nH]c3c2C[C@H]2C[C@@H]32)CC1)NCc1ccccn1,1,0.0005
O=C(Nc1cn[nH]c1)c1ccccc1OCC(=O)N1CCCC(c2cnco2)C1,1,0.0005
O=C(NCc1noc(-c2ccco2)n1)[C@@H]1CCCN(C(=O)c2cnccn2)C1,1,0.0005
O=C(NC(C(=O)NC1CC12CCC2)C1CCCCC1)c1cc[nH]c1,1,0.0005
O=C(CC(CNC(=O)c1cnc2cccnc2c1)C1CCCC1)NCCCn1cccn1,1,0.0005
O=C(CC1(CNC(=O)c2cnc3cccnc3c2)CCCCC1)NCCc1cccs1,1,0.0005
O=C(Nc1nccs1)c1c[nH]c(C(=O)NCCc2ccccc2)c1,1,0.0005
O=C(CC(CNC(=O)c1cc2c([nH]1)CCCC2)c1ccccc1)NC1CCc2ccccc21,1,0.0005
O=C(CNC(=O)C1CCNC1=O)Nc1nnc(N2CCCCC2)[nH]1,1,0.0005
O=C(NCCc1ncn[nH]1)C(CC1CCOCC1)NC(=O)C1CCNC1=O,1,0.0005
