metric,n,mean,median,q25,q75,q90,q95,min,max
train_positive_active_active_pairwise,1999000,0.15827037205386751,0.15315315315315314,0.13157894736842105,0.17886178861788618,0.20754716981132076,0.2288135593220339,0.024390243902439025,0.775
train_positive_active_active_nearest_excluding_self,2000,0.4188041582704266,0.4078308635666837,0.3684210526315789,0.45559071729957806,0.5131934566145093,0.5754642313546422,0.24561403508771928,0.775
train_positive_to_train_negative_nearest,2000,0.27429812964365374,0.2777777777777778,0.2619047619047619,0.2891566265060241,0.29591836734693877,0.2976190476190476,0.1978021978021978,0.29906542056074764
train_positive_to_train_negative_mean,2000,0.11850127094978523,0.11980029684304885,0.11438643384792245,0.12461586110075319,0.12868116600243526,0.13105133266138044,0.07205475381268443,0.14030082633029556
test_active_nearest_train_positive,1382,0.24016736338979844,0.23893805309734514,0.22117511912865895,0.2582661290322581,0.2777777777777778,0.2908935508935509,0.0975609756097561,0.3707865168539326
test_active_nearest_train_negative,1382,0.2746696643382051,0.2651831817064175,0.24731182795698925,0.2912621359223301,0.32038834951456313,0.34719444444444447,0.17647058823529413,0.8214285714285714
test_decoy_nearest_train_positive,5000,0.23581321695573132,0.23333333333333334,0.20689655172413793,0.26136363636363635,0.28751712328767126,0.30851063829787234,0.10975609756097561,0.5416666666666666
test_decoy_nearest_train_negative,5000,0.4152014625479189,0.3875,0.3142857142857143,0.4909888357256778,0.6,0.6714285714285714,0.14925373134328357,1.0
test_active_nearest_active_excluding_self,1382,0.8113924213236571,0.8378378378378378,0.7843137254901961,0.8731835457187569,0.9102564102564102,1.0,0.17105263157894737,1.0
test_active_sampled_pairwise,954271,0.2521790193090175,0.1724137931034483,0.13333333333333333,0.3979591836734694,0.5064935064935064,0.5813953488372093,0.021505376344086023,1.0
