metric,n,mean,median,q25,q75,q90,q95,min,max,note
train_positive_active_active_pairwise,499500,0.23948415966276798,0.22916666666666666,0.1896551724137931,0.27722772277227725,0.3333333333333333,0.3707865168539326,0.06779661016949153,0.8676470588235294,
train_positive_active_active_nearest,1000,0.5699294198129644,0.56,0.5109929078014184,0.625,0.6781609195402298,0.7142857142857143,0.3595505617977528,0.8676470588235294,
train_positive_to_train_negative_nearest,1000,0.2743014931088567,0.2765957446808511,0.2621359223300971,0.28865979381443296,0.29591836734693877,0.29763171225937185,0.2077922077922078,0.29906542056074764,
train_positive_to_train_negative_mean,1000,0.12640618468153147,0.12777425909467652,0.12147669035640865,0.13280623824577867,0.13800877838348338,0.1413629326461994,0.07932800490520875,0.15204787294849292,
test_active_nearest_train_positive,1420,0.2523269650314082,0.2544657097288676,0.22807017543859648,0.27664323708206684,0.29591836734693877,0.3103448275862069,0.15384615384615385,0.4823529411764706,full test_active
test_active_nearest_train_negative,1420,0.29849315658609143,0.2810744382022472,0.2641509433962264,0.3048872180451128,0.3765786314525812,0.44329896907216493,0.2,1.0,full test_active
test_decoy_nearest_train_positive,5000,0.2238420256103333,0.22,0.19462881022615536,0.25,0.27722772277227725,0.29591836734693877,0.08433734939759036,0.47619047619047616,sampled 5000 test_decoy seed=20260722
test_decoy_nearest_train_negative,5000,0.4537651223846652,0.4230769230769231,0.3404255319148936,0.5384615384615384,0.6621797121797123,0.7413793103448276,0.14754098360655737,1.0,sampled 5000 test_decoy seed=20260722
test_active_nearest_active,1420,0.845918710818154,0.8590646442759118,0.813953488372093,0.9169520547945206,1.0,1.0,0.16666666666666666,1.0,
test_active_sampled_pairwise,200000,0.2555134786104012,0.17796610169491525,0.13333333333333333,0.35185185185185186,0.5,0.5952380952380952,0.03773584905660377,1.0,sampled up to 200000 pairs
