scaffold,count,fraction
c1ccccc1,157,0.0157
O=C1C=C(C(=O)c2ccccc2)C(c2ccccc2)N1,87,0.0087
O=S(=O)(Nc1ccccc1)c1ccccc1,36,0.0036
O=C1NC(c2ccccc2)c2c1oc1ccccc1c2=O,25,0.0025
O=C(CSc1nc2ccccc2c(=O)[nH]1)Nc1ccccc1,24,0.0024
O=C(Nc1nc2ccccc2s1)c1ccccc1,22,0.0022
O=C(c1ccccc1)N1CCC2(CC[NH2+]CC2)C1,22,0.0022
O=c1[nH]cnc2scc(-c3ccccc3)c12,19,0.0019
O=C(CSc1nnc(-c2ccccc2)[nH]1)Nc1ccccc1,18,0.0018
O=C1C2C[NH2+]C(c3ccccc3)C2C(=O)N1c1ccccc1,18,0.0018
O=C(Nc1ccccc1)c1ccccc1,18,0.0018
O=C(NC(=S)Nc1ccccc1)c1ccccc1,18,0.0018
O=C(CSC1NNC(C2C=C(c3ccccc3)N=N2)N1)Nc1ccccc1,17,0.0017
c1ccc(COc2ccccc2)cc1,16,0.0016
N=C1C=C2CCC3C4CCCC4CCC3C2CC1,16,0.0016
O=S(=O)(N=C1N=c2ccccc2=[NH+]C1Nc1ccccc1)c1ccccc1,15,0.0015
O=C(COC(=O)c1ccccc1)Nc1ccccc1,15,0.0015
O=C(NCCc1ccccc1)C1CN(C(=O)c2ccccc2)CC12CC[NH2+]CC2,15,0.0015
c1ccsc1,15,0.0015
C1=CC(c2ccccc2)N2C=CSC2=N1,15,0.0015
O=C1C=C(C(=O)c2ccc3c(c2)CCO3)C(c2ccccc2)N1,14,0.0014
O=S(=O)([N-]c1ccccc1)c1ccccc1,14,0.0014
O=C(NCCOc1ccccc1)C1CN(C(=O)c2ccccc2)CC12CC[NH2+]CC2,14,0.0014
O=c1[nH]cnc2ccccc12,13,0.0013
O=C1C2CC3=c4ccccc4=[NH+]C3C(c3ccccc3)N2C(=O)N1c1ccccc1,13,0.0013
O=C1C=C(C(=O)c2ccc3c(c2)OCCO3)C(c2ccccc2)N1,12,0.0012
c1ccc(Oc2ccnn2-c2ccccc2)cc1,12,0.0012
O=C(NCc1ccccc1)c1ccccc1,11,0.0011
O=C1C2C3CCC[NH+]3C3(C(=O)Nc4ccccc43)C2C(=O)N1c1ccccc1,11,0.0011
c1ccc(Oc2cc(-c3ccccc3)n[nH]2)cc1,11,0.0011
O=C(C[NH2+]Cc1ccccc1)Nc1ccccc1,11,0.0011
O=S(=O)(NCc1ccccc1)c1ccccc1,11,0.0011
O=C1NC(=S)SC1=Cc1ccccc1,10,0.001
O=C(NCC[NH+]1CCCCC1)C(=O)Nc1ccccc1,10,0.001
O=C1NC(c2ccccc2)c2c(-c3ccccc3)n[nH]c21,10,0.001
O=C(CSc1n[nH]c(NN=Cc2ccccc2)n1)Nc1ccccc1,10,0.001
O=C(C1=CC(=O)N(c2ccccc2)C1c1ccccc1)c1ccccc1,10,0.001
O=C1CCCC2=C1C(c1ccccc1)C=CN2,9,0.0009
O=C(NCc1ccccc1)Nc1ccccc1,9,0.0009
O=C(Nc1ccccc1)C1=CNC(=S)NC1c1ccccc1,9,0.0009
O=C(COc1ccccc1)NNC(=S)NC(=O)c1ccccc1,9,0.0009
O=S(=O)(c1ccccc1)N1CCCCC1,8,0.0008
O=C1C=C(C(=O)c2ccco2)C(c2ccccc2)N1,8,0.0008
c1ccc(CNc2ccccc2)cc1,8,0.0008
O=C(COc1ccccc1)Nc1ccccc1,8,0.0008
O=C(NCc1ccccc1)C1CCC[NH+](Cc2nc(-c3ccccc3)no2)C1,8,0.0008
O=c1[nH]c2ccccc2cc1CNC(=S)Nc1ccccc1,8,0.0008
O=C(COc1ccccc1)NN=Cc1ccccc1,8,0.0008
O=C(NCCc1ccccc1)Nc1ccccc1,8,0.0008
O=C1CC(Nc2ccccc2)C(=O)N1c1ccccc1,8,0.0008
O=C(C[NH2+]CC(=O)Nc1ccccc1)Nc1ccccc1,8,0.0008
O=C(CN1C(=O)NC(c2ccccc2)C1=O)NCc1ccccc1,8,0.0008
O=C(C=Cc1ccccc1)Nc1ccccc1,7,0.0007
O=C(NCc1ccccc1)C1CN(C(=O)c2ccccc2)CC12CC[NH2+]CC2,7,0.0007
O=C1NC(c2ccccc2)C(=Cc2ccccc2)C1=O,7,0.0007
C1=CC2c3ccccc3NC(c3ccccc3)C2C1,7,0.0007
O=C(CNc1ccccc1)Nc1ccccc1,7,0.0007
[NH2+]=C(NN=Cc1ccccc1)SC1CC(=O)N(c2ccccc2)C1=O,7,0.0007
O=C(Nc1nc2ccccc2s1)C1CCCN1S(=O)(=O)c1ccccc1,7,0.0007
O=C(Nc1ccccc1)C1C2C=CC3(O2)C(C(=O)NC2CCCCC2)NC(=O)C13,7,0.0007
O=C(NCCc1c[nH]c2ccccc12)C1CN(C(=O)c2ccccc2)CC12CC[NH2+]CC2,7,0.0007
C1CCC2C(C1)CCC1C3CCCC3CCC21,7,0.0007
O=C1C=C(C(=O)c2cc3ccccc3o2)C(c2ccccc2)N1,7,0.0007
O=C(NCCc1ccccc1)C(=O)Nc1ccccc1,7,0.0007
O=C(Nc1nc2ccccc2s1)c1ccc(S(=O)(=O)N2CCCCC2)cc1,7,0.0007
O=C1C2C[NH2+]C3(C(=O)Nc4ccccc43)C2C(=O)N1CCc1ccccc1,7,0.0007
O=C(Nc1cc2c(s1)C[NH2+]CC2)c1ccccc1,7,0.0007
O=C(CNC(=O)c1ccccc1)NN=Cc1ccccc1,7,0.0007
O=S(=O)(N=C1[NH+]=c2ccccc2=[NH+]C1Nc1ccccc1)c1ccccc1,7,0.0007
O=C(NCC[NH+]1CCCCC1)Nc1ccccc1,7,0.0007
O=C(NNC(=S)NC(=O)c1ccccc1)c1ccccc1,6,0.0006
O=C(CSc1nnc(-c2cccs2)[nH]1)Nc1ccccc1,6,0.0006
O=C1CC(c2ccccc2)CC2=C1C(c1ccccc1)C=CN2,6,0.0006
O=C1C=C(C(=O)c2cccs2)C(c2ccccc2)N1,6,0.0006
