scaffold,count,fraction
C1CCCCC1,6,0.006
c1ccccc1,5,0.005
O=C(CNC(=O)c1ccccc1)NCCCc1ccccc1,3,0.003
O=C(CNCc1ccccc1)NCCCc1ccccc1,3,0.003
O=C(NCCCNC(=O)C(CC1CCCCC1)NCc1ccccc1)c1cocn1,3,0.003
O=C(NC(CC1CCCCC1)C(=O)N1CCCC1)c1ccccc1,3,0.003
O=C(NCCc1ccccc1)c1ccccc1,3,0.003
O=C(NC(CC1CCCCC1)C(=O)NCCc1ccccc1)c1ccccc1,2,0.002
O=C(CN1C(=O)C(NC(=O)Cc2ccccc2)COc2ccccc21)NCCCc1ccccc1,2,0.002
O=C(NCCNC(=O)C(CCC1CCCCC1)NC(=O)c1ccccc1)c1ccccc1,2,0.002
O=C(CCc1ccccc1)NCCCc1ccccc1,2,0.002
O=C(NCCCc1ccccc1)C1CNCCO1,2,0.002
O=C(NCCc1ccccc1)C1CCCCC1,2,0.002
O=C(NCCNCc1ccccc1)c1cnc[nH]1,2,0.002
O=C(NC1CCNC1)C1CCCCC1,2,0.002
O=C(NCCCc1ccccc1)C1COCCN1,2,0.002
,2,0.002
O=C(NCCC1CCCCC1)c1ccccc1,2,0.002
c1ccc(CNCCC2CCCCC2)cc1,2,0.002
O=C(Cc1ccccc1)NC(CC1CCCCC1)C(=O)NCCc1ccccc1,2,0.002
C1CCNC1,2,0.002
c1c[nH]cn1,2,0.002
O=C(NCCc1ccccc1)C(CCC1CCCCC1)NCc1ccccc1,2,0.002
O=C(Cc1ccccc1)NCC(=O)N1CCCC1,2,0.002
O=C(NC(CCC1CCCCC1)C(=O)NCCCNC(=O)c1cnc[nH]1)c1ccccc1,1,0.001
C1CCNCC1,1,0.001
O=C(CC1Cc2ccccc2CN1C(=O)C1CNC1)NCCCc1ccccc1,1,0.001
O=C(C=Cc1ccccc1)NC(Cc1ccccc1)C(=O)NCCCNC(=O)c1c[nH]cn1,1,0.001
