cycle3_smiles,count,fraction,mean_copies,max_copies
CCN(CC)CCCC(C)N,105,0.0532994923857868,67.38095238095238,428.0
CNCc1ccco1,100,0.050761421319796954,47.74,228.0
COc1ccccc1N2CCNCC2,93,0.047208121827411166,35.784946236559136,98.0
NCC1CCCC(CN)C1,91,0.04619289340101523,50.637362637362635,208.0
Cc1ccccc1CN,59,0.029949238578680204,38.101694915254235,129.0
Cc1cccc(CN)c1,52,0.026395939086294416,58.13461538461539,334.0
NCCSCc1c(Cl)cccc1Cl,42,0.02131979695431472,34.11904761904762,211.0
COc1ccc(CCN)cc1Br,33,0.016751269035532996,49.45454545454545,162.0
COc1ccc(OC)c(CCN)c1,33,0.016751269035532996,20.545454545454547,57.0
NCCOc1ccccc1Cl,32,0.016243654822335026,60.28125,277.0
NCc1cccc(CN)c1,30,0.015228426395939087,27.6,188.0
NC1CCCCC1CO,27,0.013705583756345178,25.48148148148148,122.0
NCc1ccco1,25,0.012690355329949238,28.0,115.0
NCCc1ccc(Cl)cc1Cl,25,0.012690355329949238,22.44,76.0
NCCCc1ccccc1,24,0.012182741116751269,41.166666666666664,151.0
Cc1cccc(CN)c1C,24,0.012182741116751269,34.833333333333336,211.0
CNCc1ccc(C)cc1,24,0.012182741116751269,39.375,231.0
COc1ccc(cc1)[C@@H](C)N,22,0.01116751269035533,23.5,84.0
CNCCc1ccccc1,21,0.01065989847715736,24.571428571428573,81.0
Nc1ccc(OCc2ccccc2)cc1,20,0.01015228426395939,21.7,95.0
NCc1csc(n1)c2cccs2,20,0.01015228426395939,31.2,107.0
NCc1ccncc1,20,0.01015228426395939,31.7,133.0
CN(C)CCNCc1ccccc1,20,0.01015228426395939,49.05,159.0
NCc1csc(n1)c2ccccc2,19,0.009644670050761422,19.36842105263158,47.0
NCCSCc1ccccc1,19,0.009644670050761422,42.26315789473684,205.0
CC(C)(CN)CN,18,0.009137055837563452,24.61111111111111,84.0
COc1cccc(CCN)c1OC,18,0.009137055837563452,29.22222222222222,114.0
C(N1CCNCC1)c2ccccc2,17,0.008629441624365483,30.705882352941178,108.0
CN1CCCC1CCN,17,0.008629441624365483,31.705882352941178,107.0
NCc1cc2ccccc2s1,16,0.008121827411167513,27.25,69.0
Cc1nc(sc1CN)c2ccccc2,16,0.008121827411167513,16.1875,76.0
NCCc1ccccn1,16,0.008121827411167513,22.4375,71.0
N[C@H]1C[C@@H]1c2ccccc2,16,0.008121827411167513,23.9375,62.0
N[C@H]([C@@H](N)c1ccccc1)c2ccccc2,16,0.008121827411167513,35.875,137.0
NCc1cccs1,15,0.007614213197969543,38.333333333333336,119.0
Fc1ccc2onc(C3CCNCC3)c2c1,15,0.007614213197969543,21.333333333333332,64.0
Cn1cccc1CN,15,0.007614213197969543,18.466666666666665,54.0
COc1cccc(OC)c1CN,14,0.007106598984771574,28.071428571428573,55.0
NCCc1ccc(Oc2ccccc2)cc1,14,0.007106598984771574,23.142857142857142,66.0
NCCc1ccc(F)cc1,13,0.006598984771573604,18.153846153846153,79.0
CCOc1ccccc1CN,13,0.006598984771573604,21.0,58.0
C[C@@H](CN)c1ccccc1,12,0.006091370558375634,20.0,40.0
NCc1cccc(I)c1,12,0.006091370558375634,34.416666666666664,80.0
NCCC1=CCCCC1,11,0.005583756345177665,32.09090909090909,66.0
NCc1ccc(F)cc1C(F)(F)F,11,0.005583756345177665,21.818181818181817,44.0
CNCC=C,11,0.005583756345177665,15.545454545454545,54.0
COc1ccccc1CN,10,0.005076142131979695,22.0,71.0
NCc1ccc2OCCCOc2c1,10,0.005076142131979695,19.5,47.0
NC1Cc2ccccc2C1,10,0.005076142131979695,21.2,67.0
CC1(C)OC[C@H](CN)O1,10,0.005076142131979695,24.8,66.0
NCc1cccc(Br)c1,10,0.005076142131979695,16.2,46.0
C1Cc2ccccc2CN1,10,0.005076142131979695,20.6,65.0
NCc1c(Cl)cccc1Oc2ccccc2,10,0.005076142131979695,17.5,27.0
C1CCN(C1)C2CCNCC2,10,0.005076142131979695,19.1,40.0
NCc1ccc(Cl)cc1,10,0.005076142131979695,18.4,78.0
COc1ccc2[nH]cc(CCN)c2c1,10,0.005076142131979695,17.7,44.0
NC1CCCCC1N,9,0.004568527918781726,23.444444444444443,98.0
CC(CN)(c1ccccc1)c2ccccc2,9,0.004568527918781726,25.22222222222222,56.0
NCCc1ccc(cc1)N(=O)=O,9,0.004568527918781726,18.444444444444443,53.0
NCCc1c[nH]c2ccc(Cl)cc12,9,0.004568527918781726,19.666666666666668,64.0
CNCCCN(C)C,9,0.004568527918781726,25.555555555555557,93.0
COc1ccc(CN)c(OC)c1,9,0.004568527918781726,19.0,50.0
CC1(C)C2CC1C(CN)CC2,9,0.004568527918781726,13.333333333333334,26.0
NCCc1c[nH]c2ccc(OCc3ccccc3)cc12,9,0.004568527918781726,20.555555555555557,60.0
COc1cc(CCN)cc(OC)c1,9,0.004568527918781726,17.333333333333332,45.0
NCCN1CCN(Cc2ccccc2)CC1,8,0.0040609137055837565,17.875,57.0
NCCc1ccccc1Cl,8,0.0040609137055837565,15.125,31.0
NCc1cc(Br)ccc1F,8,0.0040609137055837565,14.625,24.0
NCc1ccccc1Cl,8,0.0040609137055837565,16.375,46.0
Cc1cc(Cl)ccc1CN,8,0.0040609137055837565,19.75,60.0
COCCN,8,0.0040609137055837565,17.625,30.0
NCCc1ccccc1,8,0.0040609137055837565,15.625,33.0
NCCc1ccc(Br)cc1,8,0.0040609137055837565,19.5,66.0
CNCCNC,8,0.0040609137055837565,26.125,66.0
CNCc1ccccc1Cl,8,0.0040609137055837565,18.75,57.0
CNCCc1ccccn1,8,0.0040609137055837565,20.0,50.0
CC(C)CCN,7,0.003553299492385787,14.428571428571429,28.0
NCc1ccccc1N2CCOCC2,7,0.003553299492385787,22.714285714285715,35.0
CC1CCC(C)N1,7,0.003553299492385787,23.571428571428573,57.0
NCCc1c(Cl)cccc1Cl,7,0.003553299492385787,12.428571428571429,16.0
NCc1ccc2OCOc2c1,7,0.003553299492385787,13.285714285714286,20.0
CNCc1cccc(OC)c1,7,0.003553299492385787,16.428571428571427,34.0
CNCc1ccncc1,7,0.003553299492385787,18.428571428571427,30.0
COc1ccc(N)cc1OC,7,0.003553299492385787,17.571428571428573,39.0
NCCc1c[nH]c2ccc(Br)cc12,7,0.003553299492385787,15.285714285714286,33.0
NCc1cccnc1,7,0.003553299492385787,28.714285714285715,90.0
CN(C)CC(C)(C)CN,7,0.003553299492385787,13.0,23.0
COc1ccc(CCN)cc1OC,6,0.003045685279187817,25.833333333333332,51.0
NCc1cccc(Cl)c1,6,0.003045685279187817,16.333333333333332,27.0
Cc1cccc(Cl)c1CN,6,0.003045685279187817,13.833333333333334,20.0
COc1cc(CN)cc(OC)c1,6,0.003045685279187817,20.0,40.0
NCCc1c[nH]cn1,6,0.003045685279187817,14.166666666666666,25.0
CCCCNC,6,0.003045685279187817,17.666666666666668,44.0
NN,6,0.003045685279187817,22.0,67.0
COc1ccc(CN)cc1OC,6,0.003045685279187817,17.666666666666668,33.0
CNCC(C)C,6,0.003045685279187817,14.0,31.0
Cc1ccc(CCN)cc1,6,0.003045685279187817,18.166666666666668,34.0
NC[C@H]1CCCO1,6,0.003045685279187817,16.833333333333332,34.0
