metric,n,mean,median,q25,q75,q90,q95,min,max,note
train_positive_active_active_pairwise,1923741,0.4630870653896671,0.45652173913043476,0.41509433962264153,0.504950495049505,0.5625,0.620253164556962,0.1044776119402985,1.0,
train_positive_active_active_nearest,1962,0.8654831037222439,0.8611111111111112,0.8205128205128205,0.8918918918918919,1.0,1.0,0.6707317073170732,1.0,
train_positive_to_train_negative_nearest,1962,0.2712926048402297,0.2719298245614035,0.26,0.28421052631578947,0.29357798165137616,0.297029702970297,0.21495327102803738,0.29914529914529914,full train_negative
train_positive_to_train_negative_mean,1962,0.1411415226440408,0.14140876430055105,0.13752063977798848,0.14520308733477305,0.14869341756062734,0.15035421649602015,0.10665906853910653,0.15656938192295444,full train_negative
test_active_nearest_train_positive,4267,0.23700528100086166,0.22916666666666666,0.2,0.26262626262626265,0.3068181818181818,0.3333333333333333,0.10679611650485436,0.855072463768116,full test_active
test_active_nearest_train_negative,4267,0.29404318553252806,0.28125,0.25301204819277107,0.3179694137638063,0.3695652173913043,0.4235294117647058,0.16853932584269662,1.0,"full test_active, sampled 5000 train_negative seed=20260722"
test_decoy_nearest_train_positive,5000,0.20814551596939992,0.2073170731707317,0.18095238095238095,0.23333333333333334,0.25806451612903225,0.27450980392156865,0.06666666666666667,0.39080459770114945,sampled 5000 test_decoy seed=20260722
test_decoy_nearest_train_negative,5000,0.35082789881879467,0.3103448275862069,0.25925925925925924,0.40476190476190477,0.5343430445687829,0.6333568075117372,0.11764705882352941,1.0,sampled 5000 test_decoy and 5000 train_negative seed=20260722
test_active_nearest_active,4267,0.8074640243381405,0.819672131147541,0.7611940298507462,0.8679245283018868,0.9170103092783505,0.9811320754716981,0.21495327102803738,1.0,
test_active_sampled_pairwise,200000,0.15700689048082864,0.13978494623655913,0.1111111111111111,0.17582417582417584,0.23140495867768596,0.2988505747126437,0.0,1.0,sampled up to 200000 pairs
