scaffold,count,fraction
O=C(CSc1nnc(NN=Cc2ccccc2)[nH]1)Nc1ccccc1,406,0.020693170234454637
O=C(CSc1n[nH]c(NN=Cc2ccccc2)n1)Nc1ccccc1,402,0.020489296636085626
O=C(CSC1NNC(C2C=C(c3ccccc3)N=N2)N1)Nc1ccccc1,263,0.013404689092762488
O=C(CSc1n[nH]c(NN=Cc2ccccc2)n1)Nc1nncs1,155,0.007900101936799185
O=C(CCSc1n[nH]c(NN=Cc2ccccc2)n1)Nc1ccccc1,153,0.007798165137614679
O=C(c1ccns1)N(Cc1ccccc1)c1ccccc1,138,0.007033639143730887
O=C(CSc1n[nH]c(NN=Cc2cn[nH]c2)n1)Nc1ccccc1,112,0.005708460754332314
O=C(CSc1nnc(CNC(=O)c2ccccc2)[nH]1)Nc1ccccc1,103,0.005249745158002039
O=C(CSc1nnc(NN=Cc2cn[nH]c2)[nH]1)Nc1ccccc1,97,0.0049439347604485215
C(=NNc1ncn[nH]1)c1ccccc1,90,0.0045871559633027525
O=C(c1ccns1)N(Cc1ccco1)c1ccccc1,83,0.004230377166156983
O=C(CSc1nc2ccccc2c(=O)[nH]1)Nc1ccccc1,69,0.0035168195718654435
O=C(CSc1n[nH]c(NN=Cc2ccccc2)n1)NCc1ccccc1,64,0.0032619775739041795
O=C(CSc1nnc(-c2ccccc2)[nH]1)Nc1ccccc1,62,0.0031600407747196736
O=C(CSc1nnc(NN=Cc2ccccc2)[nH]1)NCc1ccccc1,59,0.0030071355759429155
O=C(NCC1CCCO1)C(c1ccccc1)N(C(=O)c1ccns1)c1ccccc1,54,0.0027522935779816515
O=C(CSc1nnc(CNC(=O)c2ccccc2)[nH]1)Nc1nccs1,53,0.0027013251783893984
O=C(CCCSc1nnc(-c2ccccc2)[nH]1)NN=Cc1ccccc1,52,0.0026503567787971457
O=C(CSc1ncc(-c2ccccc2)nn1)Nc1ccccc1,51,0.002599388379204893
O=C(c1ccccc1)N(Cc1ccccc1)Cc1ccco1,46,0.002344546381243629
O=c1[nH]cnc2scc(-c3ccccc3)c12,44,0.002242609582059123
O=C(NC1CCS(=O)(=O)C1)c1c(NCCCOc2ccccc2)sc2c1CCCC2,43,0.0021916411824668704
c1ccccc1,42,0.0021406727828746177
O=C(CSc1nnc(Nc2ccccc2)s1)Nc1ccccc1,42,0.0021406727828746177
O=C(CSc1nnc(COc2ccccc2)[nH]1)Nc1ccccc1,41,0.002089704383282365
O=c1[nH]c(=O)c2c(nc(NN=Cc3ccccc3)n2CCCOc2ccccc2)[nH]1,38,0.0019367991845056064
O=C(CSc1nnc(-c2ccccc2)[nH]1)NN=Cc1ccccc1,38,0.0019367991845056064
O=C(CCSc1n[nH]c(NN=Cc2cn[nH]c2)n1)Nc1ccccc1,38,0.0019367991845056064
O=C(CSc1nnc(NN=Cc2cccc3ccccc23)[nH]1)Nc1ccccc1,36,0.001834862385321101
O=C1C=C(C(=O)c2ccccc2)C(c2ccccc2)N1,36,0.001834862385321101
O=C(CCSc1nnc(NN=Cc2ccccc2)[nH]1)Nc1ccccc1,34,0.0017329255861365954
O=C(Cc1ccccc1)NCS(=O)(=O)c1ccccc1,34,0.0017329255861365954
O=C(CSC1=NNC(Cc2cc(=O)[nH]c(=O)[nH]2)N1c1ccccc1)Nc1ccccc1,32,0.0016309887869520897
O=C(NCc1ccccc1)c1ccccc1,32,0.0016309887869520897
O=C(CSc1nnc(CCNC(=O)c2ccccc2)[nH]1)Nc1ccccc1,32,0.0016309887869520897
O=C(NCC1CCCO1)C(c1ccco1)N(C(=O)c1ccns1)c1ccccc1,31,0.0015800203873598368
O=C(CSc1nnc(CNC(=O)c2ccccc2)[nH]1)Nc1nncs1,31,0.0015800203873598368
O=C(CSc1n[nH]c(NN=Cc2cn[nH]c2)n1)Nc1nncs1,31,0.0015800203873598368
O=c1[nH]c(C[NH2+]CCCOc2ccccc2)nc2sccc12,30,0.0015290519877675841
O=C(CSc1nnc(NC(=O)C2CC(=O)N(c3ccccc3)C2)s1)Nc1ccccc1,30,0.0015290519877675841
O=C(COC(=O)c1ccccc1)Nc1cccs1,30,0.0015290519877675841
O=C(CSc1n[nH]c(NN=Cc2ccccc2)n1)Nc1cc2c(s1)CCC2,30,0.0015290519877675841
O=C(Nc1ccccc1)C1=CNc2ncnn2C1c1ccccc1,29,0.0014780835881753314
O=c1[nH]cnc2sccc12,28,0.0014271151885830785
O=C(CSc1n[nH]c(NN=Cc2ccccc2)n1)NNC(=O)c1ccccc1,27,0.0013761467889908258
O=C(c1ccns1)N(Cc1cccs1)c1ccccc1,27,0.0013761467889908258
O=C(CSc1n[nH]c(NN=Cc2ccccc2)n1)NNC(=O)C1CCC1,27,0.0013761467889908258
O=c1[nH]c2ccccc2cc1C(c1nnn[nH]1)[NH+](Cc1ccccc1)Cc1ccco1,27,0.0013761467889908258
O=C(CSc1nnc(NN=Cc2ccccc2)[nH]1)c1ccccc1,27,0.0013761467889908258
O=C(CSc1n[nH]c(NN=Cc2ccccc2)n1)Nc1nc2ccccc2s1,26,0.0013251783893985728
O=C(CSc1nnc(CC(=O)Nc2ccccc2)[nH]1)Nc1ccccc1,25,0.0012742099898063201
O=C(NCC1CCCO1)C(c1cccs1)N(C(=O)c1ccns1)c1ccccc1,25,0.0012742099898063201
O=C1CCCC2=C1C(c1ccccc1)C=CN2,25,0.0012742099898063201
O=C(NN=Cc1ccccc1)c1nnn(-c2cnon2)c1CSc1ccccc1,24,0.0012232415902140672
O=C(NCCn1ncc2cncnc21)C1CC(=O)N(c2ccccc2)C1,24,0.0012232415902140672
O=C(CCSc1nnc(NN=Cc2cn[nH]c2)[nH]1)Nc1ccccc1,24,0.0012232415902140672
O=C(COc1ccccc1)NNC(=S)NC(=O)c1ccccc1,24,0.0012232415902140672
O=C(NC(C(=O)NCS(=O)(=O)c1ccccc1)c1ccccc1)c1ccccc1,23,0.0011722731906218145
O=C(CSc1nncs1)NN=Cc1ccccc1,23,0.0011722731906218145
O=C(c1ccns1)N(Cc1ccccc1)Cc1ccco1,22,0.0011213047910295616
O=C(CSc1n[nH]c(NN=Cc2ccccc2)n1)NCCc1ccccc1,22,0.0011213047910295616
O=C(CSc1nnc(-c2ccccc2)[nH]1)Nc1nncs1,22,0.0011213047910295616
c1ccc(Cn2c(SC3CCCCO3)nc3ccccc32)cc1,22,0.0011213047910295616
C1=CC(c2ccccc2)c2c(-c3ccccc3)n[nH]c2O1,22,0.0011213047910295616
O=C(CSc1nncs1)NN=Cc1ccc(OCc2ccccc2)cc1,21,0.0010703363914373089
O=C(Cc1nnc(SCC(=O)Nc2nccs2)[nH]1)Nc1ccccc1,21,0.0010703363914373089
O=C(CSc1n[nH]c(NN=Cc2ccccc2)n1)Nc1ccc2ncsc2c1,21,0.0010703363914373089
C(=NNc1nnc(SCc2ccccc2)[nH]1)c1ccccc1,21,0.0010703363914373089
O=c1[nH]c(C[NH2+]C2CCCCC2)nc2sccc12,21,0.0010703363914373089
O=c1[nH]c2ccccc2cc1C[NH+](CCc1ccccc1)Cc1nnn[nH]1,21,0.0010703363914373089
O=C1c2[nH]nc(-c3ccccc3)c2C(c2ccccc2)N1C1CCS(=O)(=O)C1,20,0.0010193679918450561
O=C(CSC1=CC(c2ccccc2)C=CN1)Nc1ccccc1,20,0.0010193679918450561
O=S(=O)(Nc1ccccc1)c1ccccc1,20,0.0010193679918450561
c1nc2c(s1)CC1CCCCC1C2,20,0.0010193679918450561
O=C(Cn1nc2[nH]c(=O)c3ccccc3n2c1=O)Nc1ccccc1,19,0.0009683995922528032
O=C(Nc1ccccc1)c1cc2ccncc2oc1=[NH+]c1ccccc1,19,0.0009683995922528032
O=C(CSc1nnc2[nH]c(=O)c3ccccc3n12)Nc1ccccc1,19,0.0009683995922528032
O=C(CSc1nnc(NN=Cc2ccccc2)[nH]1)Nc1nccs1,19,0.0009683995922528032
O=C1CC(C(=O)Nc2ccccc2)c2c(nc(Nc3ccccc3)[nH]c2=O)N1,19,0.0009683995922528032
c1ccc(OCCCn2c(SC3CCCCO3)nc3ccccc32)cc1,19,0.0009683995922528032
O=c1[nH]c2ccccc2cc1C[NH+](Cc1ccc2c(c1)OCO2)Cc1nnn[nH]1,19,0.0009683995922528032
O=C(NNc1cc(Nc2ccccc2)ncn1)c1ccccc1,19,0.0009683995922528032
O=c1[nH]c(C[NH2+]Cc2ccccc2)nc2sccc12,19,0.0009683995922528032
O=C(CSc1nnc(COc2ccccc2)[nH]1)Nc1cccs1,19,0.0009683995922528032
O=C(c1ccns1)N(Cc1ccccc1)Cc1cccs1,19,0.0009683995922528032
O=C(CSc1nnc(-c2cc(-c3ccccc3)n[nH]2)[nH]1)Nc1ccccc1,18,0.0009174311926605505
O=C(CSc1nnc(-c2ccccc2)[nH]1)NC(=O)NC1CCCCC1,18,0.0009174311926605505
N=C1C=C2CCC3C4CCCC4CCC3C2CC1,18,0.0009174311926605505
O=c1[nH]c2cc(C3NC(c4ccccc4)NO3)ccc2c(=O)n1Cc1ccccc1,18,0.0009174311926605505
O=c1[nH]c2ccccc2cc1C[NH+](Cc1ccccc1)Cc1nnnn1Cc1ccco1,18,0.0009174311926605505
O=C(Nc1c[nH]c(=O)[nH]c1=O)c1ccccc1,18,0.0009174311926605505
O=C(CSc1n[nH]c(NN=Cc2cn[nH]c2)n1)NCc1ccccc1,17,0.0008664627930682977
O=C(CSc1nnc(-c2ccccc2)n1-c1ccccc1)NN=Cc1ccccc1,17,0.0008664627930682977
O=C(c1ccns1)N(Cc1ccccc1)Cc1ccccc1,17,0.0008664627930682977
O=C(CSc1nnc(-c2ccccc2)[nH]1)NC(=O)Nc1ccccc1,17,0.0008664627930682977
O=c1[nH]c(C[NH2+]Cc2ccco2)nc2sccc12,17,0.0008664627930682977
O=C(CCc1ccccc1)c1ccccc1OC1CCCCO1,17,0.0008664627930682977
O=C(CCCN1C(=O)C(=Cc2ccccc2)SC1=S)Nc1ccccc1,17,0.0008664627930682977
O=C(CSC1N=NC(=O)C2CC(c3ccccc3)NN12)Nc1ccccc1,17,0.0008664627930682977
O=c1[nH]c(=O)c2c(ncn2CCCOc2ccccc2)[nH]1,16,0.0008154943934760449
