BRD4_analysis_item,PARP2_status,PARP2_file_or_reason
raw NSC summary,generated,02_raw_DEL/PARP2_raw_DEL_NSC_summary.csv
NSC by strict label,generated,02_raw_DEL/PARP2_NSC_by_strict_label_boxplot.png
raw top compounds by NSC,generated,02_raw_DEL/PARP2_raw_DEL_top_compounds_by_NSC.csv
building block top A/B/C,not_applicable,PARP2 supplied file lacks building-block columns.
positive-negative nearest similarity,generated,03_pos_neg/PARP2_DUDEgen_current_active_inactive_nearest_similarity.png
positive-negative similarity summary,generated,03_pos_neg/PARP2_DUDEgen_current_1to10_DUDE_negative_pos_neg_similarity_summary.csv
positive-negative scaffold overlap,generated,03_pos_neg/PARP2_DUDEgen_current_1to10_DUDE_negative_scaffold_overlap.png/csv
trainval-test exact overlap,generated,04_train_test/PARP2_DUDEgen_current_trainval_vs_CHEMBL_test_exact_overlap_summary.csv
trainval-test nearest summary,generated,04_train_test/PARP2_DUDEgen_current_trainval_vs_CHEMBL_test_nearest_similarity_summary.csv
test active to DEL positive similarity,generated,04_train_test/PARP2_DUDEgen_test_active_to_DEL_active_similarity.png
test active internal chemotype,generated,04_train_test/PARP2_DUDEgen_test_active_nearest_active_similarity.png
test active scaffold summary,generated,04_train_test/PARP2_test_active_top_scaffolds.csv/png
physchem summary+plots,generated,05_physchem/PARP2_DUDEgen_current_trainval_test_property_summary.csv/pngs
model gain linked features,generated,06_model/PARP2_DUDEgen_model_gain_linked_to_DEL_features.csv
target background,generated,07_summary/PARP2_DUDEgen_target_background_annotation.csv
feature interpretation summary,generated,07_summary/PARP2_DUDEgen_DEL_data_feature_interpretation_summary.csv
