section,metric,value,group
dataset_size,raw_rows,57933.0,
dataset_size,clean_rows,44769.0,
dataset_size,clean_positive,1387.0,
dataset_size,clean_negative,43382.0,
dataset_size,train_rows,12023.0,
dataset_size,val_rows,3234.0,
dataset_size,finetune_positive,1387.0,
dataset_size,finetune_negative,13870.0,
dataset_size,finetune_neg_pos_ratio,10.0,
dataset_size,test_active,495.0,
dataset_size,test_decoy,24934.0,
dataset_size,test_decoy_active_ratio,50.37171717171717,
scaffold_summary,n,1387.0,clean_positive_DEL
scaffold_summary,unique_scaffold,811.0,clean_positive_DEL
scaffold_summary,scaffold_ratio,0.5847152126892574,clean_positive_DEL
scaffold_summary,top1_scaffold_frac,0.03460706560922855,clean_positive_DEL
scaffold_summary,top5_scaffold_frac,0.14347512617159336,clean_positive_DEL
scaffold_summary,top10_scaffold_frac,0.20980533525594808,clean_positive_DEL
scaffold_summary,n,1387.0,train_positive_DEL
scaffold_summary,unique_scaffold,811.0,train_positive_DEL
scaffold_summary,scaffold_ratio,0.5847152126892574,train_positive_DEL
scaffold_summary,top1_scaffold_frac,0.03460706560922855,train_positive_DEL
scaffold_summary,top5_scaffold_frac,0.14347512617159336,train_positive_DEL
scaffold_summary,top10_scaffold_frac,0.20980533525594808,train_positive_DEL
scaffold_summary,n,13870.0,train_negative_DUDEgen
scaffold_summary,unique_scaffold,10295.0,train_negative_DUDEgen
scaffold_summary,scaffold_ratio,0.7422494592645998,train_negative_DUDEgen
scaffold_summary,top1_scaffold_frac,0.03287671232876712,train_negative_DUDEgen
scaffold_summary,top5_scaffold_frac,0.04578226387887527,train_negative_DUDEgen
scaffold_summary,top10_scaffold_frac,0.05544340302811824,train_negative_DUDEgen
scaffold_summary,n,495.0,test_active_CHEMBL
scaffold_summary,unique_scaffold,254.0,test_active_CHEMBL
scaffold_summary,scaffold_ratio,0.5131313131313131,test_active_CHEMBL
scaffold_summary,top1_scaffold_frac,0.06464646464646465,test_active_CHEMBL
scaffold_summary,top5_scaffold_frac,0.19595959595959597,test_active_CHEMBL
scaffold_summary,top10_scaffold_frac,0.2767676767676768,test_active_CHEMBL
scaffold_summary,n,24934.0,test_decoy_DUDE
scaffold_summary,unique_scaffold,18543.0,test_decoy_DUDE
scaffold_summary,scaffold_ratio,0.7436833239752948,test_decoy_DUDE
scaffold_summary,top1_scaffold_frac,0.016684045881126174,test_decoy_DUDE
scaffold_summary,top5_scaffold_frac,0.026389668725435148,test_decoy_DUDE
scaffold_summary,top10_scaffold_frac,0.03573433865404668,test_decoy_DUDE
positive_negative_scaffold_overlap,train_shared_scaffold_count,2.0,
positive_negative_scaffold_overlap,train_pos_compounds_on_shared_scaffold_frac,0.0136986301369863,
positive_negative_scaffold_overlap,train_neg_compounds_on_shared_scaffold_frac,0.032948810382119685,
