scaffold,count,fraction
O=C(CCn1c(=O)[nH]c(=O)c2ccccc21)NCCNC(=O)Cc1ccccc1,48,0.03460706560922855
O=C(Cc1ccccc1)NCCNC(=O)Cc1n[nH]c(=O)c2ccccc12,46,0.03316510454217736
O=C(Cc1ccccc1)NCCNC(=O)c1ccc2c(c1)NC(=O)CN2,45,0.032444124008651765
O=C(Cc1ccccc1)NCCNC(=O)Cn1[nH]c(=O)c2ccccc2c1=O,36,0.02595529920692141
O=C(CCc1ccccc1)NCCNC(=O)CCn1c(=O)[nH]c(=O)c2ccccc21,24,0.017303532804614274
O=C(CCc1ccccc1)NCCNC(=O)c1ccc2c(c1)NC(=O)CN2,23,0.01658255227108868
O=C(CCc1ccccc1)NCCNC(=O)Cc1n[nH]c(=O)c2ccccc12,19,0.0136986301369863
O=C1CNc2ccc(C(=O)NCCNC(=O)c3ccccc3)cc2N1,18,0.012977649603460706
O=c1[nH]ncc2ccccc12,17,0.012256669069935111
O=c1[nH]c(=O)c2ccccc2[nH]1,15,0.010814708002883922
O=C(CCn1c(=O)[nH]c(=O)c2ccccc21)NCCNC(=O)c1ccccc1,15,0.010814708002883922
O=C(Cc1ccccc1)NCCNC(=O)c1ccnc2[nH]c(=O)[nH]c(=O)c12,13,0.009372746935832732
O=C(Cc1ccccc1)NCCNC(=O)c1cnc2c(c1)c(=O)[nH]c(=O)n2Cc1ccccc1,12,0.008651766402307137
O=C(COc1ccccc1)NCCNC(=O)Cc1n[nH]c(=O)c2ccccc12,12,0.008651766402307137
O=C1CNc2ccccc2N1,11,0.007930785868781542
O=C(COc1ccccc1)NCCNC(=O)c1ccc2c(c1)NC(=O)CN2,11,0.007930785868781542
O=C(Cc1ccccc1)NCCNC(=O)c1cccc(COc2ccccc2)c1,11,0.007930785868781542
O=C(CCn1c(=O)[nH]c(=O)c2ccccc21)NCCNC(=O)COc1ccccc1,10,0.007209805335255948
O=C(Cc1n[nH]c(=O)c2ccccc12)NCCNC(=O)c1ccccc1,10,0.007209805335255948
O=C(CCC(=O)c1ccccc1)NCCNC(=O)CCn1c(=O)[nH]c(=O)c2ccccc21,9,0.006488824801730353
O=C(CCC(=O)c1ccccc1)NCCNC(=O)c1ccc2c(c1)NC(=O)CN2,8,0.005767844268204758
O=C(CCc1ccccc1)NCCNC(=O)c1cnc2c(c1)c(=O)[nH]c(=O)n2Cc1ccccc1,8,0.005767844268204758
O=C(CCC(=O)c1ccccc1)NCCNC(=O)Cc1n[nH]c(=O)c2ccccc12,7,0.005046863734679163
O=C(CCc1ccccc1)NCCNC(=O)CCc1nc2sc3c(c2c(=O)[nH]1)CCC3,7,0.005046863734679163
O=C(NCCNC(=O)c1cccc(COc2ccccc2)c1)c1ccccc1,6,0.004325883201153569
O=C(CCc1ccccc1)NCCNC(=O)c1cccc(COc2ccccc2)c1,6,0.004325883201153569
O=C(CCn1c(=O)[nH]c(=O)c2ccccc21)NCCNC(=O)c1cc2ccccc2[nH]1,5,0.003604902667627974
O=C(CCc1nc2sc3c(c2c(=O)[nH]1)CCC3)NCCNC(=O)COc1ccccc1,5,0.003604902667627974
O=C(Cc1c[nH]c2ccccc12)NCCNC(=O)Cc1n[nH]c(=O)c2ccccc12,5,0.003604902667627974
O=C1CNc2ccc(C(=O)NCCNC(=O)c3cc4ccccc4[nH]3)cc2N1,5,0.003604902667627974
