Identifier,NSC,SMILES
A108_B021,229.910646,O=C(CCN(c(cccc1)c1C(N1)=O)C1=O)NCC(NC(CC1C(CC2)CC2C1)=O)[Hg]
A108_B111,207.4393311,O=C(CCN(c(cccc1)c1C(N1)=O)C1=O)NCC(NC(CCCc(cc1)cc2c1OCCO2)=O)[Hg]
A096_B122,165.9855745,Cc1c(CC(NC(CNC(CN(C(c2c3cccc2)=O)NC3=O)=O)[Hg])=O)c(cccc2)c2[nH]1
A045_B304,131.1285678,COc(ccc(C(NC(CNC(c1cc(COc(cccc2)c2C(N)=O)ccc1)=O)[Hg])=O)c1OC)c1OC
A108_B077,122.7863629,COc(cc1)cc(C(CC(NC(CNC(CCN(c(cccc2)c2C(N2)=O)C2=O)=O)[Hg])=O)C2)c1C2=O
A108_B227,119.555438,CC(C)Oc(cc1)cc(O2)c1C=C(C(NC(CNC(CCN(c(cccc1)c1C(N1)=O)C1=O)=O)[Hg])=O)C2=O
A108_B139,114.1791136,O=C(CCN(c(cccc1)c1C(N1)=O)C1=O)NCC(NC(CCc1ncc(-c2ccccc2)[o]1)=O)[Hg]
A045_B299,102.1671619,Cc1n[nH]c(C(NC(CNC(c2cc(COc(cccc3)c3C(N)=O)ccc2)=O)[Hg])=O)c1
A153_B316,96.76995992,CS(c(cc1)ccc1C(NC(CNC(CC(c1c2cccc1)=NNC2=O)=O)[Hg])=O)(=O)=O
A108_B056,89.56662433,O=C(CCN(c(cccc1)c1C(N1)=O)C1=O)NCC(NC(CCCC1CCCCC1)=O)[Hg]
A153_B211,82.09916408,O=C(CC(c1c2cccc1)=NNC2=O)NCC(NC(c1ccc(C[n]2c(cccc3)c3nc2)cc1)=O)[Hg]
A108_B169,76.88805721,O=C(CCN(c(cccc1)c1C(N1)=O)C1=O)NCC(NC(COc(cc1)ccc1Cl)=O)[Hg]
A108_B193,73.04405308,O=C(CCN(c(cccc1)c1C(N1)=O)C1=O)NCC(NC(c1cc2ccccc2nc1)=O)[Hg]
A108_B068,71.8617303,O=C(CCN(c(cccc1)c1C(N1)=O)C1=O)NCC(NC(CC1(CC(C2)C3)CC3CC2C1)=O)[Hg]
A131_B355,68.89926032,CC(C)(C)OC(NS(c(cc1)cc(O2)c1N(CC(NC(CNC(COc1cc(C(N)=O)ccc1)=O)[Hg])=O)C2=O)(=O)=O)=O
A153_B154,66.61035042,OCc(cc1)ccc1OCCC(NC(CNC(CC(c1c2cccc1)=NNC2=O)=O)[Hg])=O
A108_B217,61.72703758,COc(cc1)cc2c1c(CC(NC(CNC(CCN(c(cccc1)c1C(N1)=O)C1=O)=O)[Hg])=O)c[o]2
A108_B028,61.18886404,O=C(CCN(c(cccc1)c1C(N1)=O)C1=O)NCC(NC(CC=Cc1ccccc1)=O)[Hg]
A108_B066,60.59180319,O=C(CCN(c(cccc1)c1C(N1)=O)C1=O)NCC(NC(CCCc(cc1)ccc1I)=O)[Hg]
A153_B139,55.7901026,O=C(CCc1ncc(-c2ccccc2)[o]1)NC(CNC(CC(c1c2cccc1)=NNC2=O)=O)[Hg]
A096_B121,53.15663752,O=C(Cc1c[nH]c2c1cccc2)NC(CNC(CN(C(c1c2cccc1)=O)NC2=O)=O)[Hg]
A153_B065,52.14259616,CC(C(CCCCCC(NC(CNC(CC(c1c2cccc1)=NNC2=O)=O)[Hg])=O)N1)NC1=O
A108_B006,50.21222532,O=C(CCN(c(cccc1)c1C(N1)=O)C1=O)NCC(NC(CCC1CCCC1)=O)[Hg]
A153_B086,44.63688673,O=C(CC(c1c2cccc1)=NNC2=O)NCC(NC(Cc(cc1)cnc1Cl)=O)[Hg]
A108_B356,42.54730478,O=C(CCN(c(cccc1)c1C(N1)=O)C1=O)NCC(NC(C(C1)c(cccc2)c2C1=O)=O)[Hg]
A108_B312,42.52562424,Cc(cc1nc2)n[n]1c(C)c2C(NC(CNC(CCN(c(cccc1)c1C(N1)=O)C1=O)=O)[Hg])=O
A153_B233,41.09912544,CC(c1c2cccc1)=NN(CC(NC(CNC(CC(c1c3cccc1)=NNC3=O)=O)[Hg])=O)C2=O
A153_B347,40.99059676,O=C(CC(c1c2cccc1)=NNC2=O)NCC(NC(CNS(c(cc1)cc(C2)c1NC2=O)(=O)=O)=O)[Hg]
A153_B161,39.05864516,O=C(CCC(NC(CNC(CC(c1c2cccc1)=NNC2=O)=O)[Hg])=O)c1cc(F)cc(F)c1
A096_B112,38.52570298,O=C(Cc1c[s]c2c1cccc2)NC(CNC(CN(C(c1c2cccc1)=O)NC2=O)=O)[Hg]
A153_B110,37.07421332,NC(NCCC(NC(CNC(CC(c1c2cccc1)=NNC2=O)=O)[Hg])=O)=O
A153_B265,36.68852465,Cc([o]c(S(N(C)C)(=O)=O)c1)c1C(NC(CNC(CC(c1c2cccc1)=NNC2=O)=O)[Hg])=O
A153_B353,36.31180562,O=C(CC(c1c2cccc1)=NNC2=O)NCC(NC(c(cc1)cc(NC(CN2)=O)c1C2=O)=O)[Hg]
A153_B198,36.05437917,O=C(CC(c1c2cccc1)=NNC2=O)NCC(NC(C1C(CC2)CC2C1)=O)[Hg]
A153_B193,35.07587104,O=C(CC(c1c2cccc1)=NNC2=O)NCC(NC(c1cc2ccccc2nc1)=O)[Hg]
