metric,n,mean,median,q25,q75,q90,q95,min,max
train_positive_active_active_pairwise,961191,0.2975611016701936,0.25609756097560976,0.21568627450980393,0.3170731707317073,0.5285714285714286,0.5797101449275363,0.08333333333333333,1.0
train_positive_active_active_nearest_excluding_self,1387,0.7659266651643739,0.7755102040816326,0.703125,0.8321596244131455,0.8596491228070176,0.8727272727272727,0.4939759036144578,1.0
train_positive_to_train_negative_nearest,1387,0.2827073874306965,0.2857142857142857,0.275,0.2926829268292683,0.2972972972972973,0.2987012987012987,0.23655913978494625,0.29906542056074764
train_positive_to_train_negative_mean,1387,0.12873221245001443,0.12900977429141577,0.12341851302875709,0.13430694507132734,0.13798264833143462,0.14005598414435083,0.09835570540795668,0.15005405003921637
test_active_nearest_train_positive,495,0.3059350586865381,0.2808988764044944,0.23032714412024757,0.4,0.42684644194756555,0.43884931506849306,0.13043478260869565,0.6
test_active_nearest_train_negative,495,0.2766334526722814,0.2727272727272727,0.25471698113207547,0.2987759367069712,0.32505085276169615,0.3373493975903614,0.1827956989247312,0.43478260869565216
test_decoy_nearest_train_positive,5000,0.2349246950876235,0.22988505747126436,0.2,0.2631578947368421,0.29764437689969614,0.32434187434187445,0.07142857142857142,0.5490196078431373
test_decoy_nearest_train_negative,5000,0.3994053167578635,0.367816091954023,0.3026315789473684,0.4647887323943662,0.5873015873015873,0.6666666666666666,0.14,1.0
test_active_nearest_active_excluding_self,495,0.7839969244738918,0.8088235294117647,0.7177083333333334,0.8712905452035886,1.0,1.0,0.21739130434782608,1.0
test_active_sampled_pairwise,122265,0.19454697868618884,0.16216216216216217,0.13186813186813187,0.20512820512820512,0.3076923076923077,0.43478260869565216,0.040983606557377046,1.0
