protein,model,best_ft_experiment,EF1_ft_minus_cold,AUPRC_ft_minus_cold,EF1_ft_minus_original,AUPRC_ft_minus_original,effect_vs_cold,effect_vs_original
BRD4,HitScreen,Frozen DEL FT 1:1,2.833000000000001,0.376,-2.34,-0.247,clear_gain_vs_cold,below_original
BRD4,GraphBAN,V4 FT 1:1 lr=5e-6 ep10,3.944827586206896,0.1575417418026251,0.922988505747127,0.0321228241773753,clear_gain_vs_cold,exceeds_original
BRD4,ColdstartCPI,FreezeFeature FT 1:10 lr=1e-5 ep10,6.170114942528736,0.2286040983618766,1.9850574712643685,0.0738116663487745,clear_gain_vs_cold,exceeds_original
BRD4,PSICHIC,BRD4_CHEMBL10_HitScreen_cold_v4_ft_ratio_1to5_stage1_head_pool_attn_lr5e6_ep10_screen,6.779,0.282,2.0989999999999998,0.172,clear_gain_vs_cold,exceeds_original
BRD4,DTIAM,cold_v4_frozen_head_ft_ratio_1to10,6.385057471264367,0.3817852780948333,4.0712643678160925,0.2487401083446189,clear_gain_vs_cold,exceeds_original
BRD4,ConPLex,delft_coldv4_ratio_1to1,3.12295259529355,0.1367808624178952,-0.7712554992425362,-0.0455517395106186,clear_gain_vs_cold,below_original
BRD4,MMF-DTI,delft_coldv4_ratio_1to10,5.070114942528736,0.1382074512675871,-3.527586206896551,-0.1729186372904703,clear_gain_vs_cold,below_original
sEH,HitScreen,Frozen DEL FT 1:5,5.219,0.156,-4.202,-0.611,clear_gain_vs_cold,below_original
sEH,GraphBAN,V4 FT 1:5 lr=5e-6 ep10,3.2690763052208838,0.1417643329227313,1.236947791164659,0.1255518079154047,clear_gain_vs_cold,exceeds_original
sEH,ColdstartCPI,FreezeFeature FT 1:10 lr=1e-5 ep10,2.562248995983936,0.0832505175665992,-7.6425702811245,-0.4464569580776665,clear_gain_vs_cold,below_original
sEH,PSICHIC,sEH_CHEMBL10_HitScreen_cold_v4_ft_ratio_1to5_stage1_head_pool_attn_lr5e5_ep10_screen,0.752,0.0539999999999999,-8.181999999999999,-0.399,clear_gain_vs_cold,below_original
sEH,DTIAM,cold_v4_frozen_head_ft_ratio_1to10,4.461847389558233,0.1345109741161455,-6.184738955823295,-0.4317504786269055,clear_gain_vs_cold,below_original
sEH,ConPLex,delft_coldv4_ratio_1to10,4.02008032128514,0.1900381499050517,-1.855421686746988,-0.2726382191312782,clear_gain_vs_cold,below_original
sEH,MMF-DTI,delft_coldv4_ratio_1to5,0.3975903614457832,0.0044547749476765,-9.409638554216867,-0.516763429000903,partial_gain_vs_cold,below_original
PARP2,HitScreen,DUD-E FT 1:1 lr=5e-5 ep10,26.465,0.28,,,clear_gain_vs_cold,not_recomputed_for_DUDEgen_update
PARP2,GraphBAN,PARP2_DUDEgen_1to10_ratio_1to1_v4pretrain_freeze_bcnmlp_lr5e6_ep10,17.123905723905718,0.1643902321750087,,,clear_gain_vs_cold,not_recomputed_for_DUDEgen_update
