protein,model,best_ft_experiment,EF1_ft_minus_cold,EF1_ft_minus_original,EF5_ft_minus_cold,EF5_ft_minus_original,AUPRC_ft_minus_cold,AUPRC_ft_minus_original,AUROC_ft_minus_cold,AUROC_ft_minus_original
BRD4,HitScreen,Frozen DEL FT 1:1,2.833000000000001,-2.34,4.031999999999999,-2.6290000000000013,0.376,-0.247,0.189,-0.0299999999999999
BRD4,GraphBAN,V4 FT 1:1 lr=5e-6 ep10,3.944827586206896,0.922988505747127,3.050356403770982,0.4223959530926651,0.1575417418026251,0.0321228241773753,0.3789288440017666,0.0332566419340737
BRD4,ColdstartCPI,FreezeFeature FT 1:10 lr=1e-5 ep10,6.170114942528736,1.9850574712643685,4.17843182340768,0.9763163945734652,0.2286040983618766,0.0738116663487745,0.2470288690942249,0.0203278647111402
BRD4,PSICHIC,BRD4_CHEMBL10_HitScreen_cold_v4_ft_ratio_1to5_stage1_head_pool_attn_lr5e6_ep10_screen,6.779,2.0989999999999998,3.795,1.893,0.282,0.172,0.144,0.102
BRD4,DTIAM,cold_v4_frozen_head_ft_ratio_1to10,6.385057471264367,4.0712643678160925,5.147160266727983,3.242584502184409,0.3817852780948333,0.2487401083446189,0.2972493896312279,0.0962776096236778
BRD4,ConPLex,delft_coldv4_ratio_1to1,3.12295259529355,-0.7712554992425362,2.180246256354194,-0.5716190880928629,0.1367808624178952,-0.0455517395106186,0.1033742761552518,-0.0349925846559684
BRD4,MMF-DTI,delft_coldv4_ratio_1to10,5.070114942528736,-3.527586206896551,3.35134513681306,-1.8514601057714417,0.1382074512675871,-0.1729186372904703,0.1847073544837397,-0.0920569865986048
sEH,HitScreen,Frozen DEL FT 1:5,5.219,-4.202,2.681,-6.554,0.156,-0.611,0.202,-0.2979999999999999
sEH,GraphBAN,V4 FT 1:5 lr=5e-6 ep10,3.2690763052208838,1.236947791164659,2.316720257234726,1.5916398713826363,0.1417643329227313,0.1255518079154047,0.4063675820662306,0.3578750581216683
sEH,ColdstartCPI,FreezeFeature FT 1:10 lr=1e-5 ep10,2.562248995983936,-7.6425702811245,2.1310289389067525,-5.438102893890674,0.0832505175665992,-0.4464569580776665,0.1264332651750613,-0.1903909551436673
sEH,PSICHIC,sEH_CHEMBL10_HitScreen_cold_v4_ft_ratio_1to5_stage1_head_pool_attn_lr5e5_ep10_screen,0.752,-8.181999999999999,1.1949999999999998,-5.696,0.0539999999999999,-0.399,0.247,-0.255
sEH,DTIAM,cold_v4_frozen_head_ft_ratio_1to10,4.461847389558233,-6.184738955823295,2.537781350482315,-6.021704180064309,0.1345109741161455,-0.4317504786269055,0.2410963081664147,-0.1652894757381525
sEH,ConPLex,delft_coldv4_ratio_1to10,4.02008032128514,-1.855421686746988,2.413987138263665,-3.262861736334404,0.1900381499050517,-0.2726382191312782,0.0920231641621941,-0.0886619174311406
sEH,MMF-DTI,delft_coldv4_ratio_1to5,0.3975903614457832,-9.409638554216867,0.0353697749196141,-7.533762057877813,0.0044547749476765,-0.516763429000903,0.0079164792852124,-0.4215566493829079
PARP2,HitScreen,DUD-E FT 1:1 lr=5e-5 ep10,26.465,,8.04,,0.28,,0.1829999999999999,
PARP2,GraphBAN,PARP2_DUDEgen_1to10_ratio_1to1_v4pretrain_freeze_bcnmlp_lr5e6_ep10,17.123905723905718,,6.906103487707259,,0.1643902321750087,,0.3141245615698169,
PARP2,ColdstartCPI,dudegen_coldv4_freezeFeature_ratio_1to10_lr5e-6_ep10,12.691836007130124,,5.331027253668763,,0.0875821465359008,,0.2512451862816826,
PARP2,PSICHIC,PARP2_CHEMBL10_HitScreen_cold_v4_ft_DUDEgen_1to10_ratio_1to10_stage1_head_pool_attn_lr5e6_ep10_screen,12.121,,3.273,,0.127,,-0.001,
PARP2,DTIAM,cold_v4_frozen_head_ft_DUDEgen_ratio_1to10,19.742856011091305,,9.006205133091926,,0.1858379243439989,,0.199272341608108,
PARP2,ConPLex,delft_coldv4_ratio_1to5,4.230612002376708,,3.7559510196302632,,0.0971151090601728,,0.1174185911412188,
PARP2,MMF-DTI,dudegen_coldv4_freezeBackbone_ratio_1to10,-0.4029154287977814,,1.130823962899434,,0.023600925727421,,0.2043236163674121,
CK1d,HitScreen,Frozen DEL FT 1:5,9.407,-0.6509999999999998,7.191999999999999,-1.4760000000000009,0.549,-0.1019999999999999,0.407,-0.014
CK1d,GraphBAN,V4 FT 1:1 lr=5e-6 ep10,3.163398692810458,-3.450980392156862,-0.7227332457293034,-5.348226018396845,0.0288643478735278,-0.4407165914816789,0.0798382553441915,-0.1481575968467855
CK1d,ColdstartCPI,FreezeFeature FT 1:5 lr=1e-5 ep10,-1.4379084967320257,-9.418300653594772,-0.6504599211563729,-8.42706964520368,-0.0183224200026135,-0.6484973765282633,0.0110673251919971,-0.2207691772028628
