metric,value
train_pos_n,777
train_neg_n,7769
train_neg_pos_ratio,9.998712998712998
train_pos_unique_scaffold,522
train_pos_scaffold_ratio,0.6718146718146718
train_pos_top1_scaffold_frac,0.02059202059202059
train_pos_top5_scaffold_frac,0.08365508365508366
train_neg_unique_scaffold,6907
train_shared_scaffold_count,14
train_pos_compounds_on_shared_scaffold_frac,0.047619047619047616
test_active_n,2261
test_active_unique_scaffold,911
test_active_scaffold_ratio,0.4029190623617868
test_active_top1_scaffold_frac,0.034055727554179564
test_active_top5_scaffold_frac,0.14153029632905795
test_active_top10_scaffold_frac,0.19725785050862452
