metric,n,mean,median,q25,q75,q90,q95,min,max,note
train_positive_active_active_pairwise,301476,0.24075860455294007,0.21296296296296297,0.17142857142857143,0.2828282828282828,0.38202247191011235,0.44,0.05982905982905983,1.0,
train_positive_active_active_nearest,777,0.7213548258892041,0.726027397260274,0.6612903225806451,0.7887323943661971,0.8437246963562752,0.8688524590163933,0.31645569620253167,1.0,
train_positive_to_train_negative_nearest,777,0.4563315268289863,0.4482758620689655,0.41935483870967744,0.4857142857142857,0.5234772978959026,0.5543543543543542,0.3333333333333333,0.6833333333333333,
train_positive_to_train_negative_mean,777,0.1609608626249745,0.15965738195637108,0.15171441592668963,0.16838986471809717,0.17964361828720615,0.18623358675351634,0.10899444086741981,0.20710359712294452,
test_active_nearest_train_positive,2261,0.27856338310587203,0.27058823529411763,0.23376623376623376,0.3170731707317073,0.359375,0.38461538461538464,0.1,0.578125,full test_active
test_active_nearest_train_negative,2261,0.33374676080755394,0.3333333333333333,0.3,0.36904761904761907,0.4025974025974026,0.4268292682926829,0.1322314049586777,0.578125,full test_active
test_decoy_nearest_train_positive,5000,0.21237307479484596,0.20909090909090908,0.18292682926829268,0.23711340206185566,0.26666666666666666,0.28846153846153844,0.07462686567164178,0.449438202247191,sampled 5000 test_decoy seed=20260722
test_decoy_nearest_train_negative,5000,0.2628271673665833,0.25842696629213485,0.22972972972972974,0.2911392405063291,0.32608695652173914,0.352112676056338,0.12121212121212122,0.56,sampled 5000 test_decoy seed=20260722
test_active_nearest_active,2261,0.78887193027416,0.7936507936507936,0.7307692307692307,0.8461538461538461,0.961038961038961,1.0,0.1506849315068493,1.0,
test_active_sampled_pairwise,200000,0.17725635337395468,0.15853658536585366,0.12345679012345678,0.20481927710843373,0.27631578947368424,0.34146341463414637,0.0,1.0,sampled up to 200000 pairs
