scaffold,count,fraction
c1ccc(-c2ccccc2)cc1,59,0.007594284978761745
c1ccccc1,51,0.006564551422319475
O=C(NCCNc1cc(-c2ccccc2)ncn1)c1ccccc1,19,0.0024456171965503925
O=C(NCc1ccccc1)c1ccccc1,18,0.002316900501995109
c1ccc(-c2cccnc2)cc1,18,0.002316900501995109
O=C(NC(Cc1ccccc1)C(=O)NCCc1ccccc1)c1ccccc1,18,0.002316900501995109
O=C(NCCc1ccccc1)c1ccccc1,17,0.002188183807439825
O=C(NCc1ccccc1)c1ccccc1-c1ccccc1,15,0.0019307504183292573
O=C(CNC(=O)c1ccccc1)NCCc1ccccc1,14,0.0018020337237739735
c1ccc(-c2cncnc2)cc1,13,0.0016733170292186897
O=C(CNC(=O)c1ccccc1)NCc1ccccc1,13,0.0016733170292186897
c1ccc(-c2ccncn2)cc1,13,0.0016733170292186897
O=C(NC1CCCN(c2cc(-c3ccccc3)ncn2)C1)c1ccccc1,11,0.001415883640108122
O=C(NCCNc1ncncc1-c1ccccc1)c1ccccc1,10,0.0012871669455528382
c1cn[nH]c1,9,0.0011584502509975544
O=C(NCc1ccccc1)c1cccc(-c2ccccc2)c1,9,0.0011584502509975544
c1ccncc1,9,0.0011584502509975544
O=C(NCCCNc1cc(-c2ccccc2)ncn1)c1ccccc1,8,0.0010297335564422706
c1ccc2[nH]ccc2c1,8,0.0010297335564422706
O=C(NC(Cc1ccccc1)C(=O)NCc1ccccc1)c1ccccc1,8,0.0010297335564422706
c1ccc(-c2cc(N3CCCCC3)ncn2)cc1,8,0.0010297335564422706
O=C(NC1CN(c2cc(-c3ccccc3)ncn2)C1)c1ccccc1,7,0.0009010168618869867
c1ccc(NCc2cccc(-c3ccccc3)c2)cc1,7,0.0009010168618869867
O=C(Cc1ccccc1)NCCc1ccccc1,7,0.0009010168618869867
O=C(NCC1CCN(c2cc(-c3ccccc3)ncn2)C1)c1ccccc1,7,0.0009010168618869867
O=C(Cc1cccc(-c2ccccc2)c1)NCc1ccccc1,7,0.0009010168618869867
O=C(NCCc1ccccc1)c1ccc(-c2ccccc2)cc1,6,0.0007723001673317029
c1ccc(-c2cn[nH]c2)cc1,6,0.0007723001673317029
,6,0.0007723001673317029
O=C(Cc1ccccc1)NC1CCCN(c2cc(-c3ccccc3)ncn2)C1,6,0.0007723001673317029
O=C(Cc1ccc(-c2ccccc2)cc1)NCc1ccccc1,6,0.0007723001673317029
c1ccc(-c2cc(N3CCCC3)ncn2)cc1,5,0.0006435834727764191
O=C(NCC1CCC(CNc2cc(-c3ccccc3)ncn2)CC1)c1ccccc1,5,0.0006435834727764191
c1ccc(CNCc2cccc(-c3ccccc3)c2)cc1,5,0.0006435834727764191
c1ccc(-c2cncnc2N2CCCC2)cc1,5,0.0006435834727764191
c1ccc(-c2ccc3ccccc3c2)cc1,5,0.0006435834727764191
O=C(c1ccccc1)N1CCCCC1,4,0.0005148667782211353
O=S(=O)(NCCc1ccccc1)c1ccccc1,4,0.0005148667782211353
O=C(CNC(=O)c1cc2ccccc2[nH]1)NCCc1ccccc1,4,0.0005148667782211353
O=C(c1cccc(-c2ccccc2)c1)N1CCCC1,4,0.0005148667782211353
